Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (848.6, 620.8)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
09-42-12-4287164,643.7225,657.5269,848.621,620.795
09-42-12-4457174,642.2589,656.8895,848.621,620.795
09-42-12-4617183,642.3258,655.9221,848.621,620.795
09-42-12-4787193,642.4183,654.4906,848.621,620.795
09-42-12-4957203,642.1777,653.5688,848.621,620.795
09-42-12-5127212,642.031,653.6377,848.621,620.795
09-42-12-5287221,638.9036,653.7861,848.621,620.795
09-42-12-5457231,639.4611,651.1396,848.621,620.795
09-42-12-5627241,639.7816,649.4396,848.621,620.795
09-42-12-5797251,639.9241,648.7786,848.621,620.795
09-42-12-5967260,639.9608,647.7201,848.621,620.795
09-42-12-6117269,638.6403,650.2418,848.621,620.795
09-42-12-6287279,638.6501,649.6543,848.621,620.795
09-42-12-6457288,637.2338,650.5989,848.621,620.795
09-42-12-6617298,637.1516,648.5928,848.621,620.795
09-42-12-6797308,637.1213,647.162,848.621,620.795
09-42-12-6957317,636.0344,646.2226,848.621,620.795
09-42-12-7117326,636.7845,645.357,848.621,620.795
09-42-12-7287336,636.7614,646.3555,848.621,620.795
09-42-12-7447345,636.9378,650.3496,848.621,620.795
09-42-12-7617355,647.7682,647.0825,848.621,620.795
09-42-12-7787364,889.7084,562.9156,848.621,620.795
09-42-12-7957374,887.2767,510.7987,848.621,620.795
09-42-12-8117383,886.3686,517.7782,848.621,620.795
09-42-12-8287393,892.801,522.7239,848.621,620.795
09-42-12-8457403,891.7797,528.3669,848.621,620.795
09-42-12-8617412,894.7887,532.0702,848.621,620.795
09-42-12-8787422,894.3765,531.9244,848.621,620.795
09-42-12-8947431,897.0133,535.5862,848.621,620.795
09-42-12-9117441,897.3683,535.2625,848.621,620.795
09-42-12-9287450,897.8599,537.6804,848.621,620.795
09-42-12-9447459,898.4628,538.1118,848.621,620.795
09-42-12-9617469,899.0024,538.826,848.621,620.795
09-42-12-9777478,898.4833,541.1329,848.621,620.795
09-42-12-9957489,900.0958,537.4598,848.621,620.795
09-42-13-0117498,901.7381,535.2664,848.621,620.795
09-42-13-0307509,902.2353,535.795,848.621,620.795
09-42-13-0447517,905.1508,535.9927,848.621,620.795
09-42-13-0617526,903.6075,535.06,848.621,620.795
09-42-13-0777535,903.2754,535.0764,848.621,620.795
09-42-13-0947545,902.1901,536.5092,848.621,620.795
09-42-13-1117555,903.4542,538.2513,848.621,620.795
09-42-13-1277564,904.4914,540.7258,848.621,620.795
09-42-13-1447574,904.5184,543.2997,848.621,620.795
09-42-13-1617584,901.7378,543.7627,848.621,620.795
09-42-13-1787593,901.9698,546.2032,848.621,620.795
09-42-13-1947602,900.2078,542.5153,848.621,620.795
09-42-13-2117612,896.791,547.9005,848.621,620.795
09-42-13-2287622,895.9205,546.603,848.621,620.795
09-42-13-2447631,895.1245,545.9504,848.621,620.795
09-42-13-2617641,895.2589,546.4492,848.621,620.795
09-42-13-2777650,893.6362,549.4029,848.621,620.795
09-42-13-2947660,891.4191,551.9514,848.621,620.795
09-42-13-3107669,890.5723,550.4845,848.621,620.795
09-42-13-3277678,889.451,553.8545,848.621,620.795
09-42-13-3447688,887.8897,556.5848,848.621,620.795
09-42-13-3607697,883.4365,559.8764,848.621,620.795
09-42-13-3777707,881.0708,561.9704,848.621,620.795
09-42-13-3947717,875.2853,566.59,848.621,620.795
09-42-13-4107726,871.2477,568.2595,848.621,620.795
09-42-13-4277736,869.2448,571.3513,848.621,620.795
09-42-13-4447745,864.7663,572.7891,848.621,620.795
09-42-13-4607755,860.3258,577.0044,848.621,620.795
09-42-13-4777764,857.8346,579.5668,848.621,620.795
09-42-13-4937773,855.6987,581.5763,848.621,620.795
09-42-13-5117784,852.5889,583.9239,848.621,620.795
09-42-13-5277793,851.4955,587.2302,848.621,620.795
09-42-13-5437802,849.1227,589.8359,848.621,620.795
09-42-13-5607812,847.0258,589.9127,848.621,620.795
09-42-13-5777821,845.2068,591.4285,848.621,620.795
09-42-13-5937831,844.5471,593.2628,848.621,620.795
09-42-13-6107840,847.6774,594.2823,848.621,620.795
09-42-13-6277850,847.51,592.8317,848.621,620.795
09-42-13-6447860,847.0781,589.7338,848.621,620.795
09-42-13-6607869,847.1498,590.3982,848.621,620.795
09-42-13-6777879,846.9784,586.8377,848.621,620.795
09-42-13-6947888,845.3704,585.632,848.621,620.795
09-42-13-7107898,842.9512,585.3943,848.621,620.795
09-42-13-7277907,842.952,587.4905,848.621,620.795
09-42-13-7447917,842.8551,585.6918,848.621,620.795
09-42-13-7607926,842.7159,588.7307,848.621,620.795
09-42-13-7777936,841.7369,589.2919,848.621,620.795
09-42-13-7937945,843.0652,590.9989,848.621,620.795
09-42-13-8107955,843.7055,592.5268,848.621,620.795
09-42-13-8277964,844.1561,592.3451,848.621,620.795
09-42-13-8447974,845.6589,591.2051,848.621,620.795
09-42-13-8607983,848.5757,587.416,848.621,620.795
09-42-13-8767993,848.969,587.0924,848.621,620.795
09-42-13-8938002,850.087,585.4686,848.621,620.795
09-42-13-9108012,850.7765,585.3887,848.621,620.795
09-42-13-9268021,851.2576,582.8438,848.621,620.795
09-42-13-9438031,851.5475,581.927,848.621,620.795
09-42-13-9608041,852.0055,582.1311,848.621,620.795
09-42-13-9778050,854.0123,581.2377,848.621,620.795
09-42-13-9938059,852.0082,581.9835,848.621,620.795
09-42-14-0128070,851.098,580.6361,848.621,620.795
09-42-14-0278079,852.9599,582.5408,848.621,620.795
09-42-14-0438088,855.3186,584.2161,848.621,620.795
09-42-14-0608098,856.3651,585.3931,848.621,620.795
09-42-14-0768107,858.3347,585.028,848.621,620.795
09-42-14-0938117,856.9232,586.4647,848.621,620.795
09-42-14-1098126,856.7779,584.5845,848.621,620.795
09-42-14-1268136,858.5095,584.3264,848.621,620.795
09-42-14-1438145,859.5205,587.772,848.621,620.795
09-42-14-1608155,860.6348,587.3414,848.621,620.795
09-42-14-1778165,860.1638,585.4846,848.621,620.795
09-42-14-1938174,858.928,587.4158,848.621,620.795
09-42-14-2108184,858.3129,590.2158,848.621,620.795
09-42-14-2268193,858.505,591.2664,848.621,620.795
09-42-14-2438202,858.3568,591.9899,848.621,620.795
09-42-14-2598212,855.3889,593.5471,848.621,620.795
09-42-14-2768221,854.9797,592.7806,848.621,620.795
09-42-14-2938231,855.0557,593.5352,848.621,620.795
09-42-14-3108241,856.3471,592.9487,848.621,620.795
09-42-14-3268250,854.4987,593.7887,848.621,620.795
09-42-14-3438260,854.273,590.212,848.621,620.795
09-42-14-3598269,854.1011,589.5465,848.621,620.795
09-42-14-3768279,853.0414,587.8709,848.621,620.795
09-42-14-3938288,853.7493,587.669,848.621,620.795
