Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (553.0, 410.1)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
14-51-20-1044032,834.5543,-199.5514,552.9802,410.0882
14-51-20-1194040,834.5543,-199.5514,552.9802,410.0882
14-51-20-1354049,834.5543,-199.5514,552.9802,410.0882
14-51-20-1564061,834.5543,-199.5514,552.9802,410.0882
14-51-20-1684068,834.5543,-199.5514,552.9802,410.0882
14-51-20-1854078,834.5543,-199.5514,552.9802,410.0882
14-51-20-2124093,834.5543,-199.5514,552.9802,410.0882
14-51-20-2224099,834.5543,-199.5514,552.9802,410.0882
14-51-20-2344106,834.5543,-199.5514,552.9802,410.0882
14-51-20-2614122,834.5543,-199.5514,552.9802,410.0882
14-51-20-2754130,834.5543,-199.5514,552.9802,410.0882
14-51-20-2844135,834.5543,-199.5514,552.9802,410.0882
14-51-20-3034146,834.5543,-199.5514,552.9802,410.0882
14-51-20-3224156,834.5543,-199.5514,552.9802,410.0882
14-51-20-3364164,834.5543,-199.5514,552.9802,410.0882
14-51-20-3524174,834.5543,-199.5514,552.9802,410.0882
14-51-20-3684183,834.5543,-199.5514,552.9802,410.0882
14-51-20-3844192,834.5543,-199.5514,552.9802,410.0882
14-51-20-4014202,834.5543,-199.5514,552.9802,410.0882
14-51-20-4184211,834.5543,-199.5514,552.9802,410.0882
14-51-20-4364222,834.5543,-199.5514,552.9802,410.0882
14-51-20-4534231,834.5543,-199.5514,552.9802,410.0882
14-51-20-4734243,834.5543,-199.5514,552.9802,410.0882
14-51-20-4874251,834.5543,-199.5514,552.9802,410.0882
14-51-20-5044261,834.5543,-199.5514,552.9802,410.0882
14-51-20-5164267,834.5543,-199.5514,552.9802,410.0882
14-51-20-5324277,797.5848,347.4177,552.9802,410.0882
14-51-20-5484286,768.2973,374.7922,552.9802,410.0882
14-51-20-5624294,766.6696,423.0895,552.9802,410.0882
14-51-20-5784303,760.3659,457.6996,552.9802,410.0882
14-51-20-5954313,754.8467,475.1734,552.9802,410.0882
14-51-20-6124322,759.4312,542.7449,552.9802,410.0882
14-51-20-6284331,759.7227,545.7996,552.9802,410.0882
14-51-20-6454341,772.7017,539.34,552.9802,410.0882
14-51-20-6624351,767.6758,529.0568,552.9802,410.0882
14-51-20-6794361,772.9531,536.3161,552.9802,410.0882
14-51-20-6954370,770.4543,531.7515,552.9802,410.0882
14-51-20-7124379,767.9253,531.8489,552.9802,410.0882
14-51-20-7294389,766.4848,528.6705,552.9802,410.0882
14-51-20-7454398,766.8353,526.6749,552.9802,410.0882
14-51-20-7624408,764.6828,527.1652,552.9802,410.0882
14-51-20-7794418,764.8499,527.9871,552.9802,410.0882
14-51-20-7954427,765.821,525.7292,552.9802,410.0882
14-51-20-8124437,766.1054,525.9119,552.9802,410.0882
14-51-20-8294446,761.5114,522.7162,552.9802,410.0882
14-51-20-8454456,536.2667,439.4495,552.9802,410.0882
14-51-20-8624465,517.5637,431.7048,552.9802,410.0882
14-51-20-8794475,516.976,426.1748,552.9802,410.0882
14-51-20-8954484,520.1516,421.9111,552.9802,410.0882
14-51-20-9114493,519.6793,426.4865,552.9802,410.0882
14-51-20-9294504,516.9183,426.448,552.9802,410.0882
14-51-20-9454513,519.5352,422.9728,552.9802,410.0882
14-51-20-9624522,516.4625,418.6905,552.9802,410.0882
14-51-20-9784532,516.3834,418.4072,552.9802,410.0882
14-51-20-9954541,517.4269,416.4032,552.9802,410.0882
14-51-21-0114551,514.7188,420.0308,552.9802,410.0882
14-51-21-0284560,507.8264,432.7252,552.9802,410.0882
14-51-21-0454570,501.2276,442.0397,552.9802,410.0882
14-51-21-0624580,494.2549,454.5026,552.9802,410.0882
14-51-21-0784589,490.3507,463.0469,552.9802,410.0882
14-51-21-0954599,484.7489,470.1257,552.9802,410.0882
14-51-21-1124608,479.2206,473.263,552.9802,410.0882
14-51-21-1284617,475.6174,478.3572,552.9802,410.0882
14-51-21-1454627,472.3222,481.786,552.9802,410.0882
14-51-21-1614636,466.9655,485.2622,552.9802,410.0882
14-51-21-1784646,463.4007,487.1624,552.9802,410.0882
14-51-21-1954656,458.8248,490.3466,552.9802,410.0882
14-51-21-2114665,461.4565,489.601,552.9802,410.0882
14-51-21-2284675,465.2359,484.9905,552.9802,410.0882
14-51-21-2454684,470.6734,480.4783,552.9802,410.0882
14-51-21-2614694,473.9791,476.0942,552.9802,410.0882
14-51-21-2774703,476.7329,471.8224,552.9802,410.0882
14-51-21-2944712,480.6807,466.6248,552.9802,410.0882
14-51-21-3114722,486.6673,462.0595,552.9802,410.0882
14-51-21-3284732,490.5124,457.9682,552.9802,410.0882
14-51-21-3444741,494.4079,453.9435,552.9802,410.0882
14-51-21-3614751,498.4298,450.1146,552.9802,410.0882
14-51-21-3784760,500.9966,445.033,552.9802,410.0882
14-51-21-3944770,504.2497,440.931,552.9802,410.0882
14-51-21-4114779,508.8367,436.459,552.9802,410.0882
14-51-21-4284789,512.874,431.6346,552.9802,410.0882
14-51-21-4474800,515.8115,427.5999,552.9802,410.0882
14-51-21-4614808,517.8902,424.5763,552.9802,410.0882
14-51-21-4784818,520.5995,421.3663,552.9802,410.0882
14-51-21-4944827,523.1392,417.465,552.9802,410.0882
14-51-21-5114837,525.9205,414.5911,552.9802,410.0882
14-51-21-5284846,528.6617,411.4115,552.9802,410.0882
14-51-21-5444855,531.3553,408.6191,552.9802,410.0882
14-51-21-5614865,533.6141,405.7991,552.9802,410.0882
14-51-21-5774874,535.4897,404.5618,552.9802,410.0882
14-51-21-5954885,536.6783,403.0908,552.9802,410.0882
14-51-21-6114894,538.3045,401.8979,552.9802,410.0882
14-51-21-6284903,540.0811,400.4096,552.9802,410.0882
14-51-21-6444913,541.2795,398.457,552.9802,410.0882
14-51-21-6614922,542.7725,397.5402,552.9802,410.0882
14-51-21-6774931,544.6243,396.954,552.9802,410.0882
14-51-21-6944941,544.841,397.4954,552.9802,410.0882
14-51-21-7104950,544.5063,397.4001,552.9802,410.0882
14-51-21-7274960,544.7931,398.1402,552.9802,410.0882
14-51-21-7444970,544.6025,398.3722,552.9802,410.0882
14-51-21-7614980,544.6891,397.2291,552.9802,410.0882
14-51-21-7774989,544.3022,396.5998,552.9802,410.0882
14-51-21-7944998,543.9819,396.4462,552.9802,410.0882
14-51-21-8105008,544.4406,396.0546,552.9802,410.0882
14-51-21-8275017,543.8761,396.4564,552.9802,410.0882
14-51-21-8445027,543.5911,396.275,552.9802,410.0882
14-51-21-8605036,544.6268,395.9966,552.9802,410.0882
14-51-21-8775046,546.0679,395.646,552.9802,410.0882
14-51-21-8945056,547.1897,395.5649,552.9802,410.0882
14-51-21-9115065,546.5377,396.1571,552.9802,410.0882
14-51-21-9285075,547.0822,395.751,552.9802,410.0882
