Stimulus, Value
0.00999999977648258,0
1.00989999977872,0
2.00979999978095,0
3.00969999978319,0
4.00959999978542,0
5.00949999978766,0
6.00939999978989,0
7.00929999979213,0
8.00919999979437,0
9.0090999997966,0
10.0089999997988,0
11.0088999998011,0
12.0087999998033,0
13.0086999998055,0
14.0085999998078,0
15.00849999981,0
16.0083999998122,0
17.0082999998145,0
18.0081999998167,0
19.008099999819,0
20.0079999998212,0
21.0078999998234,0
22.0077999998257,0
23.0076999998279,1
24.0075999998301,1
23.0076999998279,1
22.0077999998257,1
21.0078999998234,0
20.0079999998212,0
21.0078999998234,0
22.0077999998257,1
23.0076999998279,1
22.0077999998257,1
21.0078999998234,0
20.0079999998212,0
21.0078999998234,0
22.0077999998257,1
23.0076999998279,1
22.0077999998257,0
21.0078999998234,1
22.0077999998257,0
21.0078999998234,1
