Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (827.5, 473.8)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
12-18-35-3625234,828.9286,481.6663,827.5398,473.83
12-18-35-3795244,827.9162,483.1509,827.5398,473.83
12-18-35-3965254,827.6708,483.0867,827.5398,473.83
12-18-35-4125263,828.4481,484.1742,827.5398,473.83
12-18-35-4295273,827.8243,481.7363,827.5398,473.83
12-18-35-4455282,826.9931,484.1202,827.5398,473.83
12-18-35-4625292,827.6103,488.076,827.5398,473.83
12-18-35-4795301,827.5038,490.1315,827.5398,473.83
12-18-35-4965311,828.05,491.9492,827.5398,473.83
12-18-35-5125320,827.6761,495.2364,827.5398,473.83
12-18-35-5295330,828.6057,494.2014,827.5398,473.83
12-18-35-5455339,829.1252,496.8682,827.5398,473.83
12-18-35-5625349,829.4744,497.6844,827.5398,473.83
12-18-35-5795358,828.9807,498.9306,827.5398,473.83
12-18-35-5965368,828.6269,500.5941,827.5398,473.83
12-18-35-6125377,827.8687,500.9929,827.5398,473.83
12-18-35-6285386,828.8524,501.4365,827.5398,473.83
12-18-35-6455396,830.0518,501.991,827.5398,473.83
12-18-35-6635406,829.9188,500.2534,827.5398,473.83
12-18-35-6795416,829.6733,498.9574,827.5398,473.83
12-18-35-6955425,829.8323,498.3406,827.5398,473.83
12-18-35-7125435,829.9207,498.7249,827.5398,473.83
12-18-35-7285444,831.0221,496.5565,827.5398,473.83
12-18-35-7455453,832.6121,496.1351,827.5398,473.83
12-18-35-7625463,831.2763,494.0894,827.5398,473.83
12-18-35-7795473,831.3394,493.2189,827.5398,473.83
12-18-35-7955482,832.5447,495.3907,827.5398,473.83
12-18-35-8125492,831.92,495.4099,827.5398,473.83
12-18-35-8295501,831.2675,495.7907,827.5398,473.83
12-18-35-8455511,830.8315,494.6365,827.5398,473.83
12-18-35-8625520,829.9897,495.3022,827.5398,473.83
12-18-35-8795530,828.7803,494.2286,827.5398,473.83
12-18-35-8955539,828.9072,492.4655,827.5398,473.83
12-18-35-9125549,829.7118,491.6563,827.5398,473.83
12-18-35-9285558,829.7764,491.6776,827.5398,473.83
12-18-35-9455568,830.3574,490.2775,827.5398,473.83
12-18-35-9625578,828.1418,493.4196,827.5398,473.83
12-18-35-9785587,827.3446,493.941,827.5398,473.83
12-18-35-9955596,826.3628,497.3454,827.5398,473.83
12-18-36-0115606,824.9345,496.7068,827.5398,473.83
12-18-36-0305616,823.9095,497.5616,827.5398,473.83
12-18-36-0455625,823.3666,497.3936,827.5398,473.83
12-18-36-0625635,823.8075,497.8912,827.5398,473.83
12-18-36-0785644,824.0615,497.9143,827.5398,473.83
12-18-36-0955654,823.9937,500.2911,827.5398,473.83
12-18-36-1125663,823.3471,501.2248,827.5398,473.83
12-18-36-1285672,821.9052,503.9814,827.5398,473.83
12-18-36-1455682,820.532,506.2979,827.5398,473.83
12-18-36-1625692,819.978,507.5356,827.5398,473.83
12-18-36-1785701,820.0793,508.1931,827.5398,473.83
12-18-36-1955711,820.725,509.8832,827.5398,473.83
12-18-36-2115720,820.5798,511.4081,827.5398,473.83
12-18-36-2285730,821.2908,514.5227,827.5398,473.83
12-18-36-2445739,822.1732,515.7998,827.5398,473.83
12-18-36-2615749,821.4759,518.6646,827.5398,473.83
12-18-36-2785758,822.7723,519.832,827.5398,473.83
12-18-36-2945767,822.5959,519.7961,827.5398,473.83
12-18-36-3115777,821.5617,519.0723,827.5398,473.83
12-18-36-3285787,821.7754,519.4779,827.5398,473.83
12-18-36-3455797,821.3612,523.1673,827.5398,473.83
12-18-36-3625806,820.5563,523.0322,827.5398,473.83
12-18-36-3795816,818.6576,525.5128,827.5398,473.83
12-18-36-3955825,817.4149,525.3734,827.5398,473.83
12-18-36-4115834,817.8196,526.163,827.5398,473.83
12-18-36-4285844,817.4199,524.9615,827.5398,473.83
12-18-36-4445853,810.7182,527.9724,827.5398,473.83
12-18-36-4615863,801.4648,529.978,827.5398,473.83
12-18-36-4785873,792.981,532.9279,827.5398,473.83
12-18-36-4955882,785.8383,534.7068,827.5398,473.83
12-18-36-5115892,780.1707,536.5037,827.5398,473.83
12-18-36-5285901,774.2742,539.3888,827.5398,473.83
12-18-36-5445910,767.6047,543.1689,827.5398,473.83
12-18-36-5615920,760.1329,544.8779,827.5398,473.83
12-18-36-5775929,752.6844,548.8282,827.5398,473.83
