Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (988.9, 435.9)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
12-15-56-6494456,991.2654,498.2559,988.8737,435.9094
12-15-56-6664465,990.5527,499.7246,988.8737,435.9094
12-15-56-6824474,991.2276,499.6306,988.8737,435.9094
12-15-56-6994484,993.125,498.4476,988.8737,435.9094
12-15-56-7154493,994.0126,498.3424,988.8737,435.9094
12-15-56-7324503,994.1066,498.3676,988.8737,435.9094
12-15-56-7494513,994.2565,498.8604,988.8737,435.9094
12-15-56-7654522,995.8584,496.1928,988.8737,435.9094
12-15-56-7824532,997.8568,495.3286,988.8737,435.9094
12-15-56-7994541,997.5985,495.9742,988.8737,435.9094
12-15-56-8164551,998.4655,495.9216,988.8737,435.9094
12-15-56-8324560,997.7023,494.6287,988.8737,435.9094
12-15-56-8494570,997.0124,493.3029,988.8737,435.9094
12-15-56-8664580,996.7353,493.3068,988.8737,435.9094
12-15-56-8824589,995.9745,491.6447,988.8737,435.9094
12-15-56-8994599,996.1442,491.4913,988.8737,435.9094
12-15-56-9154608,996.3587,490.3938,988.8737,435.9094
12-15-56-9324617,994.8466,490.1512,988.8737,435.9094
12-15-56-9494627,995.1218,488.0349,988.8737,435.9094
12-15-56-9654636,993.7906,485.6679,988.8737,435.9094
12-15-56-9824646,993.3959,484.7112,988.8737,435.9094
12-15-56-9984655,992.605,483.5853,988.8737,435.9094
12-15-57-0154665,991.7521,482.2419,988.8737,435.9094
12-15-57-0324675,991.5952,481.8974,988.8737,435.9094
12-15-57-0494684,991.9458,481.7521,988.8737,435.9094
12-15-57-0654694,991.1392,481.3456,988.8737,435.9094
12-15-57-0824703,990.7886,480.1332,988.8737,435.9094
12-15-57-0994713,990.8363,479.65,988.8737,435.9094
12-15-57-1154722,989.7528,478.1773,988.8737,435.9094
12-15-57-1324732,988.96,477.7162,988.8737,435.9094
12-15-57-1494742,987.5255,475.3371,988.8737,435.9094
12-15-57-1654751,987.1818,475.076,988.8737,435.9094
12-15-57-1824760,986.8985,476.3925,988.8737,435.9094
12-15-57-1984770,987.6201,476.1853,988.8737,435.9094
12-15-57-2154779,985.5427,475.0109,988.8737,435.9094
12-15-57-2324789,984.8695,474.7093,988.8737,435.9094
12-15-57-2484798,984.1635,474.7057,988.8737,435.9094
12-15-57-2654808,984.9297,472.7896,988.8737,435.9094
12-15-57-2814817,986.384,472.5306,988.8737,435.9094
12-15-57-2994827,986.9778,470.1623,988.8737,435.9094
12-15-57-3154837,987.7859,469.7812,988.8737,435.9094
12-15-57-3314846,988.494,470.2165,988.8737,435.9094
12-15-57-3484855,988.3278,468.769,988.8737,435.9094
