Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
17-01-45-0755270,0,0
17-01-45-2215590,0,0
17-01-45-3658360,0,0
17-01-45-5172520,0,0
17-01-45-6692620,0,0
17-01-45-8303370,0,0
17-01-46-0058680,0,0
17-01-46-1740570,0,0
17-01-46-3096440,0,0
17-01-46-4415620,0,0
17-01-46-5859790,0,0
17-01-46-7177010,0,0
17-01-46-8547540,0,0
17-01-46-9936990,0,0
17-01-47-1337680,0,0
17-01-47-2935000,0,0
17-01-47-4301140,0,0
17-01-47-5738950,0,0
17-01-47-7091740,0,0
17-01-47-8470990,0,0
17-01-48-6592040,0,0
17-01-48-8296970,0,0
17-01-48-9610890,0,0
17-01-49-0936390,0,0
17-01-49-2296640,0,0
17-01-49-3694850,0,0
17-01-49-5303430,0,0
17-01-50-3386390,0,0
17-01-50-5092540,0,0
17-01-50-6414900,0,0
17-01-51-4131650,0,0
17-01-51-5496930,0,0
17-01-51-6853840,0,0
17-01-52-4334340,0,0
17-01-52-6013350,0,0
17-01-52-7376520,0,0
17-01-52-8732790,0,0
17-01-53-0335510,0,0
17-01-53-1732560,0,0
17-01-53-3174600,0,0
17-01-53-4869380,0,0
17-01-53-6533730,0,0
