Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (1001.0, 576.5)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
12-45-38-5560513,970.3706,540.3192,1001.038,576.5419
12-45-38-5730523,967.404,541.1658,1001.038,576.5419
12-45-38-5890532,964.7354,542.7665,1001.038,576.5419
12-45-38-6060541,964.3844,543.0706,1001.038,576.5419
12-45-38-6220551,962.4787,543.573,1001.038,576.5419
12-45-38-6390560,964.3773,539.6869,1001.038,576.5419
12-45-38-6560570,963.1374,539.3343,1001.038,576.5419
12-45-38-6720579,962.8872,537.1198,1001.038,576.5419
12-45-38-6890589,963.5922,537.9553,1001.038,576.5419
12-45-38-7060599,964.7452,539.6039,1001.038,576.5419
12-45-38-7220608,965.4832,541.9633,1001.038,576.5419
12-45-38-7390617,965.6404,542.1074,1001.038,576.5419
12-45-38-7560627,964.368,542.723,1001.038,576.5419
12-45-38-7720636,964.5598,543.1984,1001.038,576.5419
12-45-38-7890646,964.9462,545.4142,1001.038,576.5419
12-45-38-8050655,965.6574,545.3454,1001.038,576.5419
12-45-38-8230666,966.6256,541.2631,1001.038,576.5419
12-45-38-8390675,966.4736,538.8964,1001.038,576.5419
12-45-38-8560684,966.9965,538.1103,1001.038,576.5419
12-45-38-8720694,969.3901,537.3917,1001.038,576.5419
12-45-38-8910704,969.5748,536.7202,1001.038,576.5419
12-45-38-9050712,970.3331,534.1174,1001.038,576.5419
12-45-38-9220722,968.9725,532.1841,1001.038,576.5419
12-45-38-9380731,967.302,531.3173,1001.038,576.5419
12-45-38-9550741,966.8007,532.5648,1001.038,576.5419
12-45-38-9720751,965.4988,531.494,1001.038,576.5419
12-45-38-9890760,964.6332,531.7728,1001.038,576.5419
12-45-39-0050770,966.7353,532.4062,1001.038,576.5419
12-45-39-0220779,968.4896,532.5884,1001.038,576.5419
12-45-39-0380788,968.0605,535.5033,1001.038,576.5419
12-45-39-0560799,969.2559,540.2982,1001.038,576.5419
12-45-39-0720808,970.2284,545.3596,1001.038,576.5419
12-45-39-0890818,973.6381,549.645,1001.038,576.5419
12-45-39-1050827,975.7648,551.9403,1001.038,576.5419
12-45-39-1220837,977.8749,556.0598,1001.038,576.5419
12-45-39-1380846,980.1033,562.0404,1001.038,576.5419
12-45-39-1560856,980.633,567.1714,1001.038,576.5419
12-45-39-1720865,982.5253,572.6324,1001.038,576.5419
12-45-39-1880874,984.4535,577.024,1001.038,576.5419
12-45-39-2060885,988.3236,580.8941,1001.038,576.5419
12-45-39-2220894,989.6456,582.8814,1001.038,576.5419
12-45-39-2380903,991.2892,590.3448,1001.038,576.5419
12-45-39-2550913,993.7906,592.4388,1001.038,576.5419
12-45-39-2720922,994.5304,596.3339,1001.038,576.5419
12-45-39-2890932,996.0655,599.6788,1001.038,576.5419
12-45-39-3050941,998.8136,600.4564,1001.038,576.5419
12-45-39-3220951,998.6062,602.6503,1001.038,576.5419
12-45-39-3380960,998.8336,603.1124,1001.038,576.5419
12-45-39-3550970,998.9197,606.7944,1001.038,576.5419
12-45-39-3720980,999.1965,609.5333,1001.038,576.5419
12-45-39-3880989,997.9377,613.272,1001.038,576.5419
12-45-39-4050998,996.0033,617.8975,1001.038,576.5419
12-45-39-4211008,996.3748,618.4547,1001.038,576.5419
12-45-39-4381017,996.9946,620.4868,1001.038,576.5419
12-45-39-4551027,998.2711,620.7413,1001.038,576.5419
12-45-39-4721037,998.1447,623.0468,1001.038,576.5419
12-45-39-4891046,997.5206,628.1327,1001.038,576.5419
12-45-39-5051056,996.8307,627.1336,1001.038,576.5419
12-45-39-5211065,996.1511,629.203,1001.038,576.5419
12-45-39-5381074,996.5085,629.6539,1001.038,576.5419
12-45-39-5551084,997.4187,628.2333,1001.038,576.5419
12-45-39-5711093,995.7959,631.0957,1001.038,576.5419
12-45-39-5881103,993.8729,634.8517,1001.038,576.5419
12-45-39-6051113,994.3168,638.62,1001.038,576.5419
12-45-39-6211122,995.2405,641.728,1001.038,576.5419
12-45-39-6381132,995.3242,644.261,1001.038,576.5419
12-45-39-6551141,995.1868,646.3406,1001.038,576.5419
12-45-39-6721151,995.1508,649.5453,1001.038,576.5419
12-45-39-6881160,994.0358,651.8543,1001.038,576.5419
12-45-39-7051170,991.2763,651.3731,1001.038,576.5419
12-45-39-7211179,989.8523,648.713,1001.038,576.5419
12-45-39-7381189,988.191,647.0515,1001.038,576.5419
12-45-39-7551199,986.719,648.8639,1001.038,576.5419
12-45-39-7711208,985.8513,648.6538,1001.038,576.5419
12-45-39-7871217,985.817,650.2876,1001.038,576.5419
12-45-39-8051227,984.9539,651.1831,1001.038,576.5419
12-45-39-8221237,984.3394,650.7732,1001.038,576.5419
12-45-39-8381246,985.7236,651.4276,1001.038,576.5419
12-45-39-8551256,984.9623,650.1176,1001.038,576.5419
12-45-39-8711265,984.7975,647.5151,1001.038,576.5419
12-45-39-8871274,984.2709,645.6489,1001.038,576.5419
12-45-39-9041284,984.5826,647.7901,1001.038,576.5419
12-45-39-9211294,986.2267,649.4276,1001.038,576.5419
12-45-39-9371303,987.5919,650.7747,1001.038,576.5419
12-45-39-9541312,988.6157,650.829,1001.038,576.5419
12-45-39-9711322,990.1947,651.2582,1001.038,576.5419
12-45-39-9881332,993.7242,652.7699,1001.038,576.5419
12-45-40-0041341,993.7693,650.4352,1001.038,576.5419
12-45-40-0211351,994.0604,653.0897,1001.038,576.5419
12-45-40-0381360,995.4117,653.2734,1001.038,576.5419
12-45-40-0541370,993.6201,653.6962,1001.038,576.5419
12-45-40-0701379,996.2887,654.0695,1001.038,576.5419
12-45-40-0881389,995.4166,652.8801,1001.038,576.5419
12-45-40-1041398,996.226,651.4844,1001.038,576.5419
12-45-40-1211408,994.9019,651.1082,1001.038,576.5419
12-45-40-1371417,993.7253,648.7803,1001.038,576.5419
12-45-40-1541427,994.6231,646.1747,1001.038,576.5419
12-45-40-1711437,995.5798,644.1802,1001.038,576.5419
12-45-40-1871446,998.0182,639.2396,1001.038,576.5419
