Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (875.8, 47.9)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
12-44-26-5999356,762.3165,557.6412,875.8024,47.91772
12-44-26-6169366,758.4265,552.0361,875.8024,47.91772
12-44-26-6329375,756.8279,550.0331,875.8024,47.91772
12-44-26-6499385,760.0695,548.3528,875.8024,47.91772
12-44-26-6659394,758.9844,547.7606,875.8024,47.91772
12-44-26-6829404,756.1658,545.2906,875.8024,47.91772
12-44-26-6999413,753.4507,545.5346,875.8024,47.91772
12-44-26-7169423,752.9858,545.12,875.8024,47.91772
12-44-26-7329432,750.7573,544.1688,875.8024,47.91772
12-44-26-7489441,747.462,543.0114,875.8024,47.91772
12-44-26-7659451,747.0482,542.3756,875.8024,47.91772
12-44-26-7829461,746.4731,542.3586,875.8024,47.91772
12-44-26-7989470,745.5582,531.3643,875.8024,47.91772
12-44-26-8159480,826.6187,301.1881,875.8024,47.91772
12-44-26-8329490,779.7235,46.60925,875.8024,47.91772
12-44-26-8499499,810.9405,33.22949,875.8024,47.91772
12-44-26-8659508,833.0747,36.70349,875.8024,47.91772
12-44-26-8829518,833.7336,47.90027,875.8024,47.91772
12-44-26-8999528,874.3867,35.93347,875.8024,47.91772
12-44-26-9159537,821.1647,81.20569,875.8024,47.91772
12-44-26-9329547,815.3969,94.3512,875.8024,47.91772
12-44-26-9499556,815.0449,83.90564,875.8024,47.91772
12-44-26-9659566,820.6172,79.25342,875.8024,47.91772
12-44-26-9829575,826.9708,83.22394,875.8024,47.91772
12-44-26-9999585,832.9642,85.05566,875.8024,47.91772
12-44-27-0159594,842.8519,82.33081,875.8024,47.91772
12-44-27-0329604,848.6162,88.06226,875.8024,47.91772
12-44-27-0499614,855.5815,85.9873,875.8024,47.91772
12-44-27-0659623,845.7037,69.27728,875.8024,47.91772
12-44-27-0829633,832.6807,60.81665,875.8024,47.91772
12-44-27-0989642,821.4285,52.19751,875.8024,47.91772
12-44-27-1159651,809.9718,42.62659,875.8024,47.91772
12-44-27-1329661,796.0786,36.45129,875.8024,47.91772
12-44-27-1489670,787.8645,30.78125,875.8024,47.91772
12-44-27-1659680,778.7635,23.51526,875.8024,47.91772
12-44-27-1819689,779.5338,26.89612,875.8024,47.91772
12-44-27-1989699,787.3119,30.83984,875.8024,47.91772
12-44-27-2159709,792.9203,36.20215,875.8024,47.91772
12-44-27-2329718,790.8945,34.17029,875.8024,47.91772
12-44-27-2489727,789.0751,33.28662,875.8024,47.91772
12-44-27-2659737,786.2698,31.59924,875.8024,47.91772
12-44-27-2829747,784.0317,26.82434,875.8024,47.91772
12-44-27-2989756,779.8741,21.15332,875.8024,47.91772
12-44-27-3159766,774.7311,16.48169,875.8024,47.91772
12-44-27-3319775,769.7198,12.56226,875.8024,47.91772
12-44-27-3509786,765.4756,7.948853,875.8024,47.91772
12-44-27-3659794,767.9295,10.396,875.8024,47.91772
12-44-27-3829804,770.4639,13.09167,875.8024,47.91772
12-44-27-3999814,767.7167,11.16211,875.8024,47.91772
12-44-27-4159823,770.0789,16.00781,875.8024,47.91772
12-44-27-4319832,772.4159,20.65369,875.8024,47.91772
12-44-27-4489842,773.9043,24.95825,875.8024,47.91772
12-44-27-4659852,775.695,30.50415,875.8024,47.91772
12-44-27-4819861,781.3147,33.35754,875.8024,47.91772
12-44-27-4989870,787.5207,38.54883,875.8024,47.91772
12-44-27-5159880,794.0427,43.24475,875.8024,47.91772
12-44-27-5319889,799.6871,48.00378,875.8024,47.91772
12-44-27-5489899,803.9161,51.36377,875.8024,47.91772
12-44-27-5659909,808.9772,55.00757,875.8024,47.91772
12-44-27-5819918,815.0262,58.80634,875.8024,47.91772
12-44-27-5989928,819.9518,64.14423,875.8024,47.91772
12-44-27-6159937,827.6285,67.17816,875.8024,47.91772
12-44-27-6319947,835.1169,72.07245,875.8024,47.91772
12-44-27-6489956,841.8755,76.35022,875.8024,47.91772
12-44-27-6659966,845.1041,79.89575,875.8024,47.91772
12-44-27-6819975,844.1953,82.58423,875.8024,47.91772
12-44-27-6989985,847.223,84.05756,875.8024,47.91772
12-44-27-7149994,850.8677,86.21503,875.8024,47.91772
12-44-27-7330004,853.9396,88.25397,875.8024,47.91772
12-44-27-7490013,861.3022,90.33942,875.8024,47.91772
12-44-27-7650023,865.8784,92.42981,875.8024,47.91772
12-44-27-7820032,872.4103,94.80164,875.8024,47.91772
12-44-27-7980042,933.7139,132.8607,875.8024,47.91772
12-44-27-8150051,909.3224,99.60205,875.8024,47.91772
12-44-27-8320061,899.6703,108.9846,875.8024,47.91772
12-44-27-8490071,884.7582,110.6365,875.8024,47.91772
12-44-27-8650080,864.602,123.0692,875.8024,47.91772
12-44-27-8810089,855.0461,126.1991,875.8024,47.91772
12-44-27-8990099,848.5943,125.213,875.8024,47.91772
12-44-27-9150108,839.2098,114.6284,875.8024,47.91772
12-44-27-9320118,849.9173,116.892,875.8024,47.91772
12-44-27-9490128,858.4499,114.9794,875.8024,47.91772
12-44-27-9650137,862.8002,118.0328,875.8024,47.91772
12-44-27-9820147,865.8573,117.28,875.8024,47.91772
12-44-27-9990156,864.1088,118.0552,875.8024,47.91772
12-44-28-0150166,862.6178,116.7561,875.8024,47.91772
12-44-28-0320175,861.2052,117.8303,875.8024,47.91772
12-44-28-0480185,858.8846,118.6591,875.8024,47.91772
12-44-28-0660195,856.731,118.7858,875.8024,47.91772
12-44-28-0820204,856.4412,118.8559,875.8024,47.91772
12-44-28-0980213,854.2567,120.0816,875.8024,47.91772
12-44-28-1150223,854.7505,118.2742,875.8024,47.91772
12-44-28-1320233,854.31,117.98,875.8024,47.91772
12-44-28-1480242,856.9991,118.8287,875.8024,47.91772
12-44-28-1650251,858.0851,119.6689,875.8024,47.91772
12-44-28-1820261,857.9807,120.1076,875.8024,47.91772
12-44-28-1980270,856.7663,120.2823,875.8024,47.91772
12-44-28-2150280,860.3716,119.9812,875.8024,47.91772
12-44-28-2320290,860.8704,120.214,875.8024,47.91772
12-44-28-2480299,861.8086,120.4399,875.8024,47.91772
