StartAscending, Stimulus, Value
0,0.990000000223517,1
1,0.00999999977648258,0
0,0.980000000447035,1
1,0.0199999995529652,0
0,0.970000000670552,1
1,0.0299999993294477,0
0,0.96000000089407,1
1,0.0399999991059303,0
0,0.950000001117587,1
1,0.0499999988824129,0
0,0.940000001341105,1
1,0.0599999986588955,0
0,0.930000001564622,1
1,0.0699999984353781,0
0,0.920000001788139,1
1,0.0799999982118607,0
0,0.910000002011657,1
1,0.0899999979883432,0
0,0.900000002235174,1
1,0.0999999977648258,0
0,0.890000002458692,1
1,0.109999997541308,0
0,0.880000002682209,1
1,0.119999997317791,0
0,0.870000002905726,1
1,0.129999997094274,0
0,0.860000003129244,1
1,0.139999996870756,0
0,0.850000003352761,1
1,0.149999996647239,0
0,0.840000003576279,1
1,0.159999996423721,0
0,0.830000003799796,1
1,0.169999996200204,0
0,0.820000004023314,1
1,0.179999995976686,0
0,0.810000004246831,1
1,0.189999995753169,0
0,0.800000004470348,1
1,0.199999995529652,0
0,0.790000004693866,1
1,0.209999995306134,0
0,0.780000004917383,1
1,0.219999995082617,0
0,0.770000005140901,1
1,0.229999994859099,0
0,0.760000005364418,1
1,0.239999994635582,0
0,0.750000005587935,1
1,0.249999994412065,0
0,0.740000005811453,1
1,0.259999994188547,0
0,0.73000000603497,1
1,0.26999999396503,0
0,0.720000006258488,1
1,0.279999993741512,0
0,0.710000006482005,1
1,0.289999993517995,0
0,0.700000006705523,1
1,0.299999993294477,0
0,0.69000000692904,1
1,0.30999999307096,0
0,0.680000007152557,1
1,0.319999992847443,0
0,0.670000007376075,1
1,0.329999992623925,0
0,0.660000007599592,1
1,0.339999992400408,0
0,0.65000000782311,1
1,0.34999999217689,0
0,0.640000008046627,1
1,0.359999991953373,0
0,0.630000008270144,1
1,0.369999991729856,0
0,0.620000008493662,1
1,0.379999991506338,0
0,0.610000008717179,1
1,0.389999991282821,0
0,0.600000008940697,1
1,0.399999991059303,0
0,0.590000009164214,1
1,0.409999990835786,0
0,0.580000009387732,1
1,0.419999990612268,0
0,0.570000009611249,1
1,0.429999990388751,0
0,0.560000009834766,0
1,0.439999990165234,0
0,0.570000009611249,1
1,0.449999989941716,1
0,0.560000009834766,0
1,0.439999990165234,0
0,0.570000009611249,0
1,0.449999989941716,1
0,0.580000009387732,1
1,0.439999990165234,0
0,0.570000009611249,1
1,0.449999989941716,1
0,0.560000009834766,0
1,0.439999990165234,0
0,0.570000009611249,1
