Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (867.0, 671.5)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
10-16-47-6237147,782.5755,655.1193,867.0487,671.5344
10-16-47-6407157,781.5925,653.9351,867.0487,671.5344
10-16-47-6577167,781.1998,652.6221,867.0487,671.5344
10-16-47-6737176,779.0067,652.7335,867.0487,671.5344
10-16-47-6907186,777.4518,652.4053,867.0487,671.5344
10-16-47-7077195,777.0081,653.903,867.0487,671.5344
10-16-47-7237205,775.2974,653.2363,867.0487,671.5344
10-16-47-7407214,773.7807,652.0195,867.0487,671.5344
10-16-47-7577224,772.1037,650.1232,867.0487,671.5344
10-16-47-7737233,769.6066,650.3998,867.0487,671.5344
10-16-47-7907243,769.5336,649.7826,867.0487,671.5344
10-16-47-8077253,768.0469,646.801,867.0487,671.5344
10-16-47-8247262,765.9788,646.9672,867.0487,671.5344
10-16-47-8407272,764.1775,645.8053,867.0487,671.5344
10-16-47-8577281,762.9474,644.4302,867.0487,671.5344
10-16-47-8737290,761.3946,645.7371,867.0487,671.5344
10-16-47-8907300,762.5789,646.0809,867.0487,671.5344
10-16-47-9077310,762.1957,648.0048,867.0487,671.5344
10-16-47-9237319,762.0353,650.1612,867.0487,671.5344
10-16-47-9407329,763.4734,652.5028,867.0487,671.5344
10-16-47-9567338,762.4055,654.0953,867.0487,671.5344
10-16-47-9737348,761.5002,652.5072,867.0487,671.5344
10-16-47-9907357,761.7095,652.5378,867.0487,671.5344
10-16-48-0067367,761.9196,654.3716,867.0487,671.5344
10-16-48-0237376,761.3567,653.8109,867.0487,671.5344
10-16-48-0397385,763.5374,653.6096,867.0487,671.5344
10-16-48-0577396,769.0198,653.693,867.0487,671.5344
10-16-48-0737405,775.0152,656.3016,867.0487,671.5344
10-16-48-0907415,780.1377,659.3976,867.0487,671.5344
10-16-48-1067424,786.0251,662.0275,867.0487,671.5344
10-16-48-1237433,791.9639,662.9576,867.0487,671.5344
10-16-48-1407443,796.8236,665.4879,867.0487,671.5344
10-16-48-1567452,802.4474,668.0307,867.0487,671.5344
10-16-48-1737462,808.2516,669.7538,867.0487,671.5344
10-16-48-1907472,813.7076,670.6499,867.0487,671.5344
10-16-48-2077481,818.8342,671.7053,867.0487,671.5344
10-16-48-2237491,823.7288,674.2537,867.0487,671.5344
10-16-48-2397500,827.7619,677.2175,867.0487,671.5344
10-16-48-2567510,831.8633,680.0015,867.0487,671.5344
10-16-48-2737519,834.6326,683.2427,867.0487,671.5344
10-16-48-2897528,837.9453,685.4907,867.0487,671.5344
10-16-48-3067538,839.6393,688.1862,867.0487,671.5344
10-16-48-3227547,841.516,690.9507,867.0487,671.5344
10-16-48-3397557,843.3682,692.786,867.0487,671.5344
10-16-48-3567567,846.1471,693.7194,867.0487,671.5344
10-16-48-3727576,848.4444,694.2822,867.0487,671.5344
10-16-48-3907586,848.2913,694.1282,867.0487,671.5344
10-16-48-4067595,848.9211,692.9951,867.0487,671.5344
10-16-48-4237605,850.1832,693.9568,867.0487,671.5344
10-16-48-4397614,851.5445,694.8123,867.0487,671.5344
10-16-48-4567624,852.2263,697.9819,867.0487,671.5344
10-16-48-4737634,852.8643,700.2513,867.0487,671.5344
10-16-48-4897643,853.4085,701.1845,867.0487,671.5344
10-16-48-5067653,855.7272,702.2353,867.0487,671.5344
10-16-48-5257663,855.9381,702.8356,867.0487,671.5344
10-16-48-5397671,857.684,702.2841,867.0487,671.5344
10-16-48-5567681,860.1226,700.0271,867.0487,671.5344
10-16-48-5727690,861.5651,699.3831,867.0487,671.5344
10-16-48-5897700,863.1304,698.4937,867.0487,671.5344
10-16-48-6067710,864.8057,697.9901,867.0487,671.5344
10-16-48-6237719,865.1187,697.2472,867.0487,671.5344
10-16-48-6407729,865.723,696.0035,867.0487,671.5344
10-16-48-6567738,866.8334,695.8832,867.0487,671.5344
10-16-48-6727747,867.963,693.8643,867.0487,671.5344
10-16-48-6897757,870.0375,692.5883,867.0487,671.5344
10-16-48-7067767,871.5012,691.9343,867.0487,671.5344
10-16-48-7227776,872.9379,692.6316,867.0487,671.5344
10-16-48-7397786,873.0995,690.7968,867.0487,671.5344
10-16-48-7567796,872.8839,689.6936,867.0487,671.5344
10-16-48-7727805,872.4068,689.5649,867.0487,671.5344
10-16-48-7897814,869.9197,688.8691,867.0487,671.5344
10-16-48-8057824,868.6176,688.6305,867.0487,671.5344
10-16-48-8227833,868.1617,687.8549,867.0487,671.5344
10-16-48-8397843,867.6287,686.9902,867.0487,671.5344
10-16-48-8567853,868.6482,685.4927,867.0487,671.5344
10-16-48-8727862,868.6522,685.6223,867.0487,671.5344
10-16-48-8897872,868.3591,686.8864,867.0487,671.5344
10-16-48-9057881,868.0132,686.9972,867.0487,671.5344
10-16-48-9237891,867.0684,687.0712,867.0487,671.5344
10-16-48-9397900,865.8729,688.5533,867.0487,671.5344
10-16-48-9557909,866.9016,687.9272,867.0487,671.5344
10-16-48-9727919,867.7286,689.163,867.0487,671.5344
10-16-48-9897929,868.2349,689.3091,867.0487,671.5344
10-16-49-0057938,867.4241,688.3133,867.0487,671.5344
10-16-49-0227948,866.2842,689.191,867.0487,671.5344
10-16-49-0397957,865.9299,691.1569,867.0487,671.5344
10-16-49-0557967,865.9532,692.7747,867.0487,671.5344
10-16-49-0727976,866.5956,694.399,867.0487,671.5344
10-16-49-0897986,865.8773,697.187,867.0487,671.5344
10-16-49-1057995,866.923,697.9937,867.0487,671.5344
10-16-49-1228005,867.8223,698.7109,867.0487,671.5344
10-16-49-1388014,869.2147,698.6843,867.0487,671.5344
10-16-49-1558024,869.5479,699.9836,867.0487,671.5344
10-16-49-1728033,870.3092,700.8109,867.0487,671.5344
10-16-49-1898043,871.2921,701.3654,867.0487,671.5344
10-16-49-2058052,871.4327,703.9195,867.0487,671.5344
10-16-49-2228062,872.3619,704.0375,867.0487,671.5344
10-16-49-2398072,873.4854,704.7759,867.0487,671.5344
10-16-49-2558081,873.0392,704.1836,867.0487,671.5344
10-16-49-2728091,872.9102,706.0187,867.0487,671.5344
10-16-49-2898100,872.3089,704.5717,867.0487,671.5344
10-16-49-3058110,869.7542,705.2024,867.0487,671.5344
10-16-49-3218119,869.009,704.033,867.0487,671.5344
10-16-49-3388128,870.4958,703.1429,867.0487,671.5344
10-16-49-3568139,870.6213,702.4751,867.0487,671.5344
10-16-49-3728148,869.6567,702.5276,867.0487,671.5344
10-16-49-3898158,871.3055,703.1598,867.0487,671.5344
10-16-49-4058167,871.264,702.9695,867.0487,671.5344
10-16-49-4218176,872.0991,704.5011,867.0487,671.5344
10-16-49-4388186,872.6884,702.1498,867.0487,671.5344
10-16-49-4548195,872.5984,699.6407,867.0487,671.5344
10-16-49-4718204,872.9081,696.692,867.0487,671.5344
10-16-49-4888214,873.697,694.7599,867.0487,671.5344
10-16-49-5078225,874.7679,693.9836,867.0487,671.5344
10-16-49-5218233,874.2214,692.437,867.0487,671.5344
10-16-49-5388243,875.1146,691.6537,867.0487,671.5344
10-16-49-5558253,874.2505,689.2446,867.0487,671.5344
10-16-49-5718262,875.4306,687.9834,867.0487,671.5344
10-16-49-5888271,874.2581,687.9747,867.0487,671.5344
10-16-49-6058281,875.3812,687.611,867.0487,671.5344
10-16-49-6218290,875.6404,687.4446,867.0487,671.5344
10-16-49-6388300,876.4232,689.2354,867.0487,671.5344
10-16-49-6558310,877.6719,688.3228,867.0487,671.5344
10-16-49-6718319,878.6,687.2806,867.0487,671.5344
10-16-49-6888329,878.9063,687.6797,867.0487,671.5344
10-16-49-7048338,878.3647,686.6929,867.0487,671.5344
10-16-49-7218347,875.3364,686.4163,867.0487,671.5344
10-16-49-7388357,873.6396,687.2439,867.0487,671.5344
10-16-49-7558367,872.2274,688.4717,867.0487,671.5344
10-16-49-7718376,870.21,687.7876,867.0487,671.5344
10-16-49-7888386,869.3198,686.0262,867.0487,671.5344
10-16-49-8048395,870.7301,685.011,867.0487,671.5344
10-16-49-8218405,870.1355,686.2731,867.0487,671.5344
10-16-49-8378414,869.2381,684.7834,867.0487,671.5344
10-16-49-8548424,868.8964,685.9189,867.0487,671.5344
10-16-49-8718433,867.2861,685.3884,867.0487,671.5344
10-16-49-8888443,866.0429,686.35,867.0487,671.5344
10-16-49-9048452,866.6545,687.6776,867.0487,671.5344
10-16-49-9218462,866.4849,687.4277,867.0487,671.5344
10-16-49-9378471,866.2378,686.8807,867.0487,671.5344
10-16-49-9548481,867.0569,686.4431,867.0487,671.5344
10-16-49-9718490,867.2391,685.2125,867.0487,671.5344
10-16-49-9888500,868.6558,683.3154,867.0487,671.5344
10-16-50-0048509,869.0983,683.0135,867.0487,671.5344
10-16-50-0218519,871.3808,683.5515,867.0487,671.5344
10-16-50-0378528,871.2452,682.0663,867.0487,671.5344
10-16-50-0548538,870.3362,682.3665,867.0487,671.5344
10-16-50-0718548,868.9954,682.572,867.0487,671.5344
10-16-50-0878557,867.1873,681.8726,867.0487,671.5344
10-16-50-1048567,866.0193,680.5934,867.0487,671.5344
10-16-50-1218576,865.0035,681.514,867.0487,671.5344
10-16-50-1378585,865.1993,680.9022,867.0487,671.5344
10-16-50-1548595,864.3759,683.1793,867.0487,671.5344
10-16-50-1718605,863.9357,685.7432,867.0487,671.5344
10-16-50-1878614,863.7621,687.1461,867.0487,671.5344
10-16-50-2048624,862.6735,687.4124,867.0487,671.5344
10-16-50-2208633,861.2547,688.4126,867.0487,671.5344
10-16-50-2378643,860.8587,688.7321,867.0487,671.5344
10-16-50-2548652,862.1554,689.4554,867.0487,671.5344
10-16-54-2670947,835.6896,611.9893,837.1146,592.3472
10-16-54-2830956,837.2791,610.1221,837.1146,592.3472
10-16-54-3010967,837.5482,610.4775,837.1146,592.3472
10-16-54-3170976,837.9951,610.3817,837.1146,592.3472
10-16-54-3340986,838.7065,608.7772,837.1146,592.3472
10-16-54-3510995,838.8496,609.5104,837.1146,592.3472
10-16-54-3671004,836.9891,608.0624,837.1146,592.3472
10-16-54-3841014,837.2333,607.2709,837.1146,592.3472
10-16-54-4001023,838.4363,607.9968,837.1146,592.3472
10-16-54-4171033,838.985,608.2717,837.1146,592.3472
10-16-54-4341043,840.1961,608.0471,837.1146,592.3472
10-16-54-4511052,839.84,605.984,837.1146,592.3472
10-16-54-4671062,839.29,605.3807,837.1146,592.3472
10-16-54-4841071,838.7717,605.0146,837.1146,592.3472
10-16-54-5001081,837.1372,603.8344,837.1146,592.3472
10-16-54-5181091,835.9532,603.8628,837.1146,592.3472
10-16-54-5331099,836.2361,602.1702,837.1146,592.3472
10-16-54-5501109,837.0009,601.3955,837.1146,592.3472
10-16-54-5671119,837.523,599.8541,837.1146,592.3472
10-16-54-5831128,837.3154,599.453,837.1146,592.3472
10-16-54-6001138,838.2708,599.7691,837.1146,592.3472
10-16-54-6171147,840.4496,599.8397,837.1146,592.3472
10-16-54-6331157,840.5853,601.4367,837.1146,592.3472
10-16-54-6511167,839.3107,604.596,837.1146,592.3472
10-16-54-6661175,841.0844,604.2612,837.1146,592.3472
10-16-54-6841186,839.448,606.4846,837.1146,592.3472
10-16-54-7001195,839.9974,607.792,837.1146,592.3472
10-16-54-7161204,839.722,610.3798,837.1146,592.3472
10-16-54-7341214,837.8773,612.6346,837.1146,592.3472
10-16-54-7501224,838.12,613.3806,837.1146,592.3472
10-16-54-7661233,837.5318,614.4175,837.1146,592.3472
10-16-54-7831242,835.7348,615.553,837.1146,592.3472
10-16-54-8001252,835.1652,617.1759,837.1146,592.3472
10-16-54-8161261,835.0184,618.4182,837.1146,592.3472
10-16-54-8331271,834.0574,619.3692,837.1146,592.3472
10-16-54-8501281,832.3996,620.5867,837.1146,592.3472
10-16-54-8671290,830.2342,622.7693,837.1146,592.3472
10-16-54-8831300,829.1787,626.3527,837.1146,592.3472
10-16-54-8991309,828.8712,627.9314,837.1146,592.3472
10-16-54-9161318,828.1848,629.4626,837.1146,592.3472
10-16-54-9331328,829.7742,631.4769,837.1146,592.3472
10-16-54-9491337,829.7393,633.2957,837.1146,592.3472
10-16-54-9661347,828.5078,636.0455,837.1146,592.3472
10-16-54-9831357,829.5903,638.943,837.1146,592.3472
10-16-55-0001367,830.3464,639.5936,837.1146,592.3472
10-16-55-0171376,831.7572,639.6746,837.1146,592.3472
10-16-55-0331385,831.9959,640.5382,837.1146,592.3472
10-16-55-0501395,831.5197,639.3083,837.1146,592.3472
10-16-55-0671405,830.9431,637.0822,837.1146,592.3472
10-16-55-0831414,831.4329,635.08,837.1146,592.3472
10-16-55-1021425,830.7842,635.314,837.1146,592.3472
10-16-55-1161433,830.0679,633.2515,837.1146,592.3472
10-16-55-1331443,830.1553,632.3773,837.1146,592.3472
