Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (608.7, 985.0)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
15-40-23-2892951,614.6744,923.4315,608.6725,984.9647
15-40-23-3062960,614.2639,920.3893,608.6725,984.9647
15-40-23-3222969,614.7831,919.2645,608.6725,984.9647
15-40-23-3392979,614.9401,917.9203,608.6725,984.9647
15-40-23-3552988,613.3832,915.9326,608.6725,984.9647
15-40-23-3722998,610.9145,912.6824,608.6725,984.9647
15-40-23-3903008,610.6221,911.4833,608.6725,984.9647
15-40-23-4083019,610.7037,909.0379,608.6725,984.9647
15-40-23-4233027,611.1381,907.7042,608.6725,984.9647
15-40-23-4393036,609.7027,905.6479,608.6725,984.9647
15-40-23-4553046,608.9992,903.4739,608.6725,984.9647
15-40-23-4723055,606.4099,901.7415,608.6725,984.9647
15-40-23-4893065,605.0599,900.6516,608.6725,984.9647
15-40-23-5053074,604.7073,899.8206,608.6725,984.9647
15-40-23-5223084,605.1261,898.9721,608.6725,984.9647
15-40-23-5393094,604.064,898.6129,608.6725,984.9647
15-40-23-5563103,603.9131,897.6605,608.6725,984.9647
15-40-23-5723112,604.5773,896.9783,608.6725,984.9647
15-40-23-5893122,605.3124,898.3394,608.6725,984.9647
15-40-23-6053131,605.9682,899.8863,608.6725,984.9647
15-40-23-6223141,605.8922,901.0847,608.6725,984.9647
15-40-23-6393151,605.2098,903.8193,608.6725,984.9647
15-40-23-6563161,605.7618,904.5541,608.6725,984.9647
15-40-23-6723170,606.3168,905.6589,608.6725,984.9647
15-40-23-6893179,607.1959,907.5794,608.6725,984.9647
15-40-23-7053189,607.9872,910.3481,608.6725,984.9647
15-40-23-7223198,607.8994,913.2566,608.6725,984.9647
15-40-23-7393208,608.996,915.3647,608.6725,984.9647
15-40-23-7553217,608.541,918.1332,608.6725,984.9647
15-40-23-7723227,609.1526,922.0331,608.6725,984.9647
15-40-23-7883236,608.6313,926.2867,608.6725,984.9647
15-40-23-8053246,608.4587,929.2227,608.6725,984.9647
15-40-23-8223255,608.1942,933.0619,608.6725,984.9647
15-40-23-8383265,607.4495,935.0953,608.6725,984.9647
15-40-23-8553274,607.3785,940.5881,608.6725,984.9647
15-40-23-8723284,605.7213,941.9209,608.6725,984.9647
15-40-23-8893294,605.3776,942.1711,608.6725,984.9647
15-40-23-9053303,604.0994,942.0779,608.6725,984.9647
15-40-23-9223313,604.3586,941.5424,608.6725,984.9647
15-40-23-9383322,605.5916,942.4824,608.6725,984.9647
15-40-23-9553332,604.5162,942.9915,608.6725,984.9647
15-40-23-9723341,604.2364,942.6509,608.6725,984.9647
15-40-23-9883350,604.4706,940.2123,608.6725,984.9647
15-40-24-0053360,604.1212,939.8052,608.6725,984.9647
15-40-24-0223370,602.6447,939.7686,608.6725,984.9647
15-40-24-0383379,604.7905,938.5402,608.6725,984.9647
15-40-24-0553389,605.3146,939.4246,608.6725,984.9647
15-40-24-0713398,604.0797,938.1656,608.6725,984.9647
15-40-24-0883408,605.0631,938.0894,608.6725,984.9647
15-40-24-1043417,605.6899,937.6216,608.6725,984.9647
15-40-24-1213427,605.551,935.7313,608.6725,984.9647
15-40-24-1383436,606.718,936.3635,608.6725,984.9647
15-40-24-1553446,607.6318,936.954,608.6725,984.9647
15-40-24-1713455,609.4301,937.1454,608.6725,984.9647
15-40-24-1883465,610.2397,937.3383,608.6725,984.9647
15-40-24-2053475,609.0873,938.0353,608.6725,984.9647
15-40-24-2223484,608.017,938.4299,608.6725,984.9647
15-40-24-2383493,609.359,939.4513,608.6725,984.9647
15-40-24-2543503,609.481,940.4213,608.6725,984.9647
15-40-24-2713512,608.3888,942.8623,608.6725,984.9647
15-40-24-2883522,607.5892,943.9659,608.6725,984.9647
15-40-24-3053532,607.8643,944.7559,608.6725,984.9647
15-40-24-3213541,606.7032,946.2719,608.6725,984.9647
15-40-24-3383551,607.5526,948.9703,608.6725,984.9647
15-40-24-3543560,605.9817,950.2347,608.6725,984.9647
15-40-24-3713570,605.5115,951.68,608.6725,984.9647
15-40-24-3913581,605.0498,954.0219,608.6725,984.9647
15-40-24-4043588,606.5322,956.1388,608.6725,984.9647
15-40-24-4213598,607.3972,958.0062,608.6725,984.9647
15-40-24-4373607,604.9047,958.6028,608.6725,984.9647
15-40-24-4553618,602.396,957.792,608.6725,984.9647
15-40-24-4713627,602.4915,957.3588,608.6725,984.9647
15-40-24-4883636,599.908,956.2296,608.6725,984.9647
15-40-24-5043646,600.6126,955.1422,608.6725,984.9647
15-40-24-5213655,599.6277,954.8516,608.6725,984.9647
15-40-24-5373664,599.0042,954.7617,608.6725,984.9647
15-40-24-5553675,599.2047,954.0068,608.6725,984.9647
15-40-24-5713684,600.9738,952.5132,608.6725,984.9647
15-40-24-5883694,602.7201,951.1673,608.6725,984.9647
15-40-24-6043703,602.6955,949.8357,608.6725,984.9647
15-40-24-6213713,601.9135,949.6574,608.6725,984.9647
15-40-24-6383722,600.6116,949.6092,608.6725,984.9647
15-40-24-6543731,599.9796,947.9402,608.6725,984.9647
15-40-24-6713741,598.4713,947.1973,608.6725,984.9647
15-40-24-6873750,595.7375,946.7225,608.6725,984.9647
15-40-24-7043760,594.9965,945.5815,608.6725,984.9647
15-40-24-7213770,592.6027,943.7095,608.6725,984.9647
15-40-24-7373779,592.1011,943.455,608.6725,984.9647
15-40-24-7543789,591.2252,943.6291,608.6725,984.9647
15-40-24-7713798,591.2394,943.0347,608.6725,984.9647
15-40-24-7873807,590.7672,942.487,608.6725,984.9647
15-40-24-8043817,589.8394,942.558,608.6725,984.9647
15-40-24-8213827,589.9463,943.0442,608.6725,984.9647
15-40-24-8383837,589.8029,942.8808,608.6725,984.9647
15-40-24-8543846,589.2811,944.7544,608.6725,984.9647
15-40-24-8703855,588.3143,945.1279,608.6725,984.9647
15-40-24-8883865,587.5961,944.7206,608.6725,984.9647
15-40-24-9043874,588.9297,944.2869,608.6725,984.9647
15-40-24-9203884,588.9205,944.4982,608.6725,984.9647
15-40-24-9373893,590.7363,945.1951,608.6725,984.9647
15-40-24-9543903,591.2537,946.0837,608.6725,984.9647
15-40-24-9713913,589.5484,945.972,608.6725,984.9647
15-40-24-9873922,589.006,947.5605,608.6725,984.9647
15-40-25-0043932,589.814,947.2504,608.6725,984.9647
15-40-25-0203941,591.4291,947.0059,608.6725,984.9647
15-40-25-0373950,590.8437,945.8177,608.6725,984.9647
15-40-25-0543960,592.5295,944.8837,608.6725,984.9647
15-40-25-0703969,593.1896,942.8476,608.6725,984.9647
15-40-25-0873979,593.6895,942.3496,608.6725,984.9647
15-40-25-1043989,592.6764,940.875,608.6725,984.9647
15-40-25-1203998,593.8716,940.4868,608.6725,984.9647
15-40-25-1374008,593.1703,940.5236,608.6725,984.9647
15-40-25-1544017,594.5589,940.7615,608.6725,984.9647
15-40-25-1704027,595.3555,941.8512,608.6725,984.9647
15-40-25-1874036,597.1442,941.6359,608.6725,984.9647
15-40-25-2044046,600.4376,940.3979,608.6725,984.9647
15-40-25-2214056,601.9506,939.9274,608.6725,984.9647
15-40-25-2374065,603.1852,940.056,608.6725,984.9647
15-40-25-2534074,605.6292,939.1699,608.6725,984.9647
15-40-25-2704084,606.9966,938.2847,608.6725,984.9647
15-40-25-2874093,607.4079,938.1707,608.6725,984.9647
15-40-25-3044103,606.1578,938.7009,608.6725,984.9647
15-40-25-3204112,606.0286,939.1093,608.6725,984.9647
15-40-25-3374122,606.5605,937.553,608.6725,984.9647
15-40-25-3534131,605.7099,937.4236,608.6725,984.9647
15-40-25-3724142,605.9173,937.7354,608.6725,984.9647
15-40-25-3874151,606.6943,937.4802,608.6725,984.9647
15-40-25-4034160,607.0793,937.9728,608.6725,984.9647
15-40-25-4204170,607.7351,938.162,608.6725,984.9647
15-40-25-4374179,608.9964,937.1724,608.6725,984.9647
15-40-25-4544189,610.6729,938.4122,608.6725,984.9647
15-40-25-4704198,612.4821,938.4587,608.6725,984.9647
15-40-25-4874208,613.9756,938.4398,608.6725,984.9647
15-40-25-5034217,614.5117,937.7973,608.6725,984.9647
15-40-25-5204227,615.306,938.6847,608.6725,984.9647
15-40-25-5374236,615.8959,939.4571,608.6725,984.9647
15-40-25-5544246,615.1843,939.2119,608.6725,984.9647
15-40-25-5704255,614.998,940.4278,608.6725,984.9647
15-40-25-5864264,614.72,939.4513,608.6725,984.9647
15-40-25-6034274,612.4594,940.131,608.6725,984.9647
15-40-25-6204284,611.3447,941.1041,608.6725,984.9647
15-40-25-6374294,610.9837,942.1023,608.6725,984.9647
15-40-25-6534303,610.4391,943.6208,608.6725,984.9647
15-40-25-6704313,609.3805,943.6945,608.6725,984.9647
15-40-25-6864322,614.2612,937.894,608.6725,984.9647
15-40-25-7034331,730.7438,712.2554,608.6725,984.9647
15-40-25-7204341,709.3698,710.7126,608.6725,984.9647
15-40-25-7364350,734.3575,699.9227,608.6725,984.9647
15-40-25-7534360,731.613,713.832,608.6725,984.9647
15-40-25-7704370,729.0775,711.8768,608.6725,984.9647
15-40-25-7864379,733.4663,712.864,608.6725,984.9647
15-40-25-8034389,735.657,710.999,608.6725,984.9647
15-40-25-8204398,734.4603,709.865,608.6725,984.9647
15-40-25-8364407,734.5992,704.3304,608.6725,984.9647
15-40-25-8534417,735.1407,700.4459,608.6725,984.9647
15-40-25-8704427,735.8685,694.9888,608.6725,984.9647
15-40-25-8874437,733.8849,693.9132,608.6725,984.9647
15-40-25-9034446,733.5228,691.897,608.6725,984.9647
