Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (952.0, 455.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-02-51-0939389,910,420
16-02-51-2159459,910,420
16-02-51-3479534,910,420
16-02-51-4819611,910,420
16-02-51-6129686,910,420
16-02-51-7449761,910,420
16-02-51-8769837,910,420
16-02-52-0089912,910,420
16-02-52-1399987,910,420
16-02-52-2710062,910,420
16-02-52-4050139,910,420
16-02-52-5350213,910,420
16-02-52-6690290,910,420
16-02-52-8000365,910,420
16-02-52-9320440,910,420
16-02-53-0630515,910,420
16-02-53-1940590,912,482
16-02-53-3280667,920,509
16-02-53-4600742,933,514
16-02-53-5950820,937,524
16-02-53-7280896,937,524
16-02-53-8660975,937,524
16-02-53-9971050,942,525
16-02-54-1281124,939,521
16-02-54-2791211,939,521
16-02-54-4331299,939,521
16-02-54-5811384,939,521
16-02-54-7301469,952,519
16-02-54-8811555,952,518
16-02-55-0301640,952,518
16-02-55-1811727,952,518
16-02-55-3291811,952,518
16-02-55-4811898,719,487
16-02-55-6321985,698,460
16-02-55-7832071,796,398
16-02-55-9352158,1034,374
16-02-56-0852244,922,538
16-02-56-2372331,739,406
16-02-56-3852415,1009,280
16-02-56-5382503,904,546
16-02-56-6902590,656,390
16-02-56-8412676,1051,395
16-02-57-6843158,1008,536
16-02-57-8263240,915,552
16-02-57-9793327,1034,456
16-02-58-1283412,771,511
16-02-58-2803499,780,409
16-02-59-1463995,869,547
16-02-59-2914078,949,391
16-02-59-4494168,845,400
16-02-59-6004254,1225,431
16-02-59-7564344,1042,593
16-02-59-9104432,924,366
16-03-00-0614518,1167,445
16-03-00-2134605,977,639
16-03-00-3634691,935,772
16-03-00-5204781,922,905
16-03-00-6644863,917,937
16-03-00-8154949,921,951
16-03-00-9715039,922,956
