Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (1105.0, 640.9)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
15-05-58-0561705,1181.105,265.4589,1105.025,640.9014
15-05-58-0731715,1181.105,265.4589,1105.025,640.9014
15-05-58-0891724,1181.105,265.4589,1105.025,640.9014
15-05-58-1061733,1181.105,265.4589,1105.025,640.9014
15-05-58-1221743,1181.105,265.4589,1105.025,640.9014
15-05-58-1391752,1181.105,265.4589,1105.025,640.9014
15-05-58-1601764,1200.781,376.2331,1105.025,640.9014
15-05-58-1791775,1151.357,420.2952,1105.025,640.9014
15-05-58-1831777,1140.551,459.6071,1105.025,640.9014
15-05-58-2021788,1128.024,494.8036,1105.025,640.9014
15-05-58-2161796,1117.199,527.5828,1105.025,640.9014
15-05-58-2331806,1083.428,652.7869,1105.025,640.9014
15-05-58-2491815,1092.781,689.9124,1105.025,640.9014
15-05-58-2661825,1088.921,686.5538,1105.025,640.9014
15-05-58-2831835,1100.068,673.9117,1105.025,640.9014
15-05-58-2991844,1097.776,668.6205,1105.025,640.9014
15-05-58-3161854,1094.218,664.285,1105.025,640.9014
15-05-58-3331863,1087.293,665.3962,1105.025,640.9014
15-05-58-3501873,1073.618,664.9565,1105.025,640.9014
15-05-58-3661882,1069.79,659.7957,1105.025,640.9014
15-05-58-3831892,1065.985,653.7328,1105.025,640.9014
15-05-58-4001902,1058.976,647.5002,1105.025,640.9014
15-05-58-4171911,1053.696,644.3577,1105.025,640.9014
15-05-58-4331920,1050.947,637.6432,1105.025,640.9014
15-05-58-4501930,1048.041,637.2068,1105.025,640.9014
15-05-58-4671940,1046.499,637.3156,1105.025,640.9014
15-05-58-4831949,1044.772,638.3914,1105.025,640.9014
15-05-58-5001959,1045.722,639.9044,1105.025,640.9014
15-05-58-5161968,1046.879,641.0784,1105.025,640.9014
15-05-58-5331978,1048.169,641.2573,1105.025,640.9014
15-05-58-5501987,1048.517,643.48,1105.025,640.9014
15-05-58-5661997,1049.892,645.7101,1105.025,640.9014
15-05-58-5832006,1053.373,647.5743,1105.025,640.9014
15-05-58-5992015,1054.979,646.7144,1105.025,640.9014
15-05-58-6162025,1056.167,648.1783,1105.025,640.9014
15-05-58-6332035,1057.461,648.662,1105.025,640.9014
15-05-58-6492044,1059.031,646.2698,1105.025,640.9014
