Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (882.7, 411.3)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
11-13-14-8951516,961.8127,412.1385,882.7274,411.2965
11-13-14-9211531,959.9933,411.832,882.7274,411.2965
11-13-14-9281535,962.6744,411.295,882.7274,411.2965
11-13-14-9451545,967.3205,417.2224,882.7274,411.2965
11-13-14-9631555,965.9539,415.4674,882.7274,411.2965
11-13-14-9791564,966.9521,416.6189,882.7274,411.2965
11-13-14-9961574,964.4667,415.1281,882.7274,411.2965
11-13-15-0121583,967.4733,418.6569,882.7274,411.2965
11-13-15-0291593,976.1967,422.2923,882.7274,411.2965
11-13-15-0471603,979.5192,422.5667,882.7274,411.2965
11-13-15-0731618,986.526,429.7028,882.7274,411.2965
11-13-15-0881627,986.526,429.7028,882.7274,411.2965
11-13-15-1031635,986.526,429.7028,882.7274,411.2965
11-13-15-1151642,982.6556,429.1335,882.7274,411.2965
11-13-15-1281650,988.7181,430.5975,882.7274,411.2965
11-13-15-1461660,984.4952,427.7119,882.7274,411.2965
11-13-15-1611668,989.5826,428.6028,882.7274,411.2965
11-13-15-1781678,997.5099,432.6593,882.7274,411.2965
11-13-15-2041693,996.7944,435.3483,882.7274,411.2965
11-13-15-2111697,1004.364,441.3076,882.7274,411.2965
11-13-15-2291707,1007.125,446.9111,882.7274,411.2965
11-13-15-2471718,1003.95,445.6508,882.7274,411.2965
11-13-15-2611726,1008.071,446.0453,882.7274,411.2965
11-13-15-2781735,1008.647,445.0794,882.7274,411.2965
11-13-15-3041750,1006.184,445.6238,882.7274,411.2965
11-13-15-3121755,1003.161,442.5435,882.7274,411.2965
11-13-15-3281764,1001.184,442.8268,882.7274,411.2965
11-13-15-3451774,999.1094,439.5858,882.7274,411.2965
11-13-15-3621783,995.2381,439.5165,882.7274,411.2965
11-13-15-3791793,992.0492,435.2504,882.7274,411.2965
11-13-15-3951802,989.6389,431.0983,882.7274,411.2965
11-13-15-4111811,986.5203,428.6818,882.7274,411.2965
11-13-15-4281821,982.473,425.5965,882.7274,411.2965
11-13-15-4451831,981.0875,422.4966,882.7274,411.2965
11-13-15-4611840,978.5652,418.6047,882.7274,411.2965
11-13-15-4781850,975.3701,417.9032,882.7274,411.2965
11-13-15-4951860,972.6073,417.1219,882.7274,411.2965
11-13-15-5111869,969.3622,413.8171,882.7274,411.2965
11-13-15-5281878,966.7961,410.5678,882.7274,411.2965
11-13-15-5451888,964.785,409.672,882.7274,411.2965
11-13-15-5611897,961.9871,406.71,882.7274,411.2965
11-13-15-5781907,961.3607,405.7357,882.7274,411.2965
11-13-15-5951917,958.403,404.1099,882.7274,411.2965
11-13-15-6111926,956.4084,407.4013,882.7274,411.2965
11-13-15-6281936,954.5178,406.4932,882.7274,411.2965
11-13-15-6451945,952.5988,406.834,882.7274,411.2965
11-13-15-6611954,950.4204,408.5004,882.7274,411.2965
11-13-15-6781964,948.7856,410.056,882.7274,411.2965
11-13-15-6951974,948.6921,411.7074,882.7274,411.2965
11-13-15-7121984,946.6708,410.8187,882.7274,411.2965
11-13-15-7281993,944.8114,409.5866,882.7274,411.2965
11-13-15-7442002,943.6838,409.112,882.7274,411.2965
11-13-15-7612012,941.2822,409.0226,882.7274,411.2965
11-13-15-7782021,940.7548,409.0135,882.7274,411.2965
11-13-15-7962032,940.587,410.7266,882.7274,411.2965
11-13-15-8112040,939.3053,410.4654,882.7274,411.2965
11-13-15-8282050,938.29,407.7025,882.7274,411.2965
11-13-15-8452060,939.2455,408.1066,882.7274,411.2965
11-13-15-8612069,938.6014,406.2765,882.7274,411.2965
11-13-15-8792079,937.4548,404.201,882.7274,411.2965
11-13-15-8942088,932.9229,406.8723,882.7274,411.2965
11-13-15-9112097,924.8839,409.8955,882.7274,411.2965
11-13-15-9282107,917.244,412.3846,882.7274,411.2965
11-13-15-9442116,910.2705,417.4415,882.7274,411.2965
11-13-15-9612126,902.5994,419.5923,882.7274,411.2965
11-13-15-9782136,894.1996,421.5557,882.7274,411.2965
11-13-15-9942145,886.9246,422.7609,882.7274,411.2965
11-13-16-0112155,879.212,423.8502,882.7274,411.2965
11-13-16-0272164,870.6856,426.0535,882.7274,411.2965
11-13-16-0442174,863.475,427.9478,882.7274,411.2965
11-13-16-0612183,855.6483,432.1151,882.7274,411.2965
11-13-16-0772192,846.9272,435.2474,882.7274,411.2965
11-13-16-0942202,840.5067,437.3532,882.7274,411.2965
11-13-16-1112212,834.5912,438.3259,882.7274,411.2965
11-13-16-1272221,828.065,439.4189,882.7274,411.2965
