Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (612.5, 237.8)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
11-11-56-8286865,611.0168,266.0163,612.5406,237.7677
11-11-56-8486876,609.3074,267.1675,612.5406,237.7677
11-11-56-8626884,610.0535,265.7315,612.5406,237.7677
11-11-56-8786893,607.9951,263.1367,612.5406,237.7677
11-11-56-8956903,608.9591,263.7703,612.5406,237.7677
11-11-56-9136913,608.2789,261.9971,612.5406,237.7677
11-11-56-9286922,610.3306,260.3069,612.5406,237.7677
11-11-56-9456932,612.1152,260.2404,612.5406,237.7677
11-11-56-9626942,612.6696,259.5499,612.5406,237.7677
11-11-56-9786951,612.5184,256.9346,612.5406,237.7677
11-11-56-9956960,612.0596,255.1356,612.5406,237.7677
11-11-57-0126970,611.9281,255.0247,612.5406,237.7677
11-11-57-0286979,609.2419,253.8641,612.5406,237.7677
11-11-57-0456989,608.6276,251.4231,612.5406,237.7677
11-11-57-0626999,608.1557,250.7202,612.5406,237.7677
11-11-57-0787008,607.7783,249.2739,612.5406,237.7677
11-11-57-0957018,607.6644,247.8864,612.5406,237.7677
11-11-57-1127027,607.2831,248.5917,612.5406,237.7677
11-11-57-1297037,608.8282,247.762,612.5406,237.7677
11-11-57-1457046,610.1144,247.2193,612.5406,237.7677
11-11-57-1627056,609.4167,247.2017,612.5406,237.7677
11-11-57-1787065,608.4299,245.5533,612.5406,237.7677
11-11-57-1957075,607.6829,242.3122,612.5406,237.7677
11-11-57-2127085,609.145,242.6932,612.5406,237.7677
11-11-57-2287094,609.4396,243.4031,612.5406,237.7677
11-11-57-2457103,609.8456,240.4255,612.5406,237.7677
11-11-57-2617113,608.6977,241.9736,612.5406,237.7677
11-11-57-2787122,607.8959,240.7823,612.5406,237.7677
11-11-57-2957132,605.5873,241.5015,612.5406,237.7677
11-11-57-3117141,606.1699,242.3038,612.5406,237.7677
11-11-57-3287151,604.8562,245.5472,612.5406,237.7677
11-11-57-3457161,605.7033,247.409,612.5406,237.7677
11-11-57-3627170,604.2443,249.4739,612.5406,237.7677
11-11-57-3787179,604.3715,249.9106,612.5406,237.7677
11-11-57-3957189,601.908,249.4808,612.5406,237.7677
11-11-57-4117198,602.3688,248.4888,612.5406,237.7677
11-11-57-4307209,601.1298,247.1533,612.5406,237.7677
11-11-57-4447217,599.7695,246.7468,612.5406,237.7677
11-11-57-4627228,599.9575,247.1354,612.5406,237.7677
11-11-57-4787237,598.9033,246.2897,612.5406,237.7677
11-11-57-4947246,598.6088,243.6462,612.5406,237.7677
11-11-57-5117256,597.4514,243.8837,612.5406,237.7677
11-11-57-5287265,597.2191,244.6686,612.5406,237.7677
11-11-57-5447274,595.0753,246.629,612.5406,237.7677
11-11-57-5617284,595.324,248.5091,612.5406,237.7677
11-11-57-5787294,594.7277,247.2228,612.5406,237.7677
