Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (1174.2, 342.9)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
13-37-12-5033285,1127.149,623.5356,1174.23,342.8954
13-37-12-5193294,1127.149,623.5356,1174.23,342.8954
13-37-12-5363303,1127.149,623.5356,1174.23,342.8954
13-37-12-5533313,1127.149,623.5356,1174.23,342.8954
13-37-12-5703323,1127.149,623.5356,1174.23,342.8954
13-37-12-5863332,1127.149,623.5356,1174.23,342.8954
13-37-12-6033342,1127.149,623.5356,1174.23,342.8954
13-37-12-6203351,1127.149,623.5356,1174.23,342.8954
13-37-12-6363361,1127.149,623.5356,1174.23,342.8954
13-37-12-6533370,1127.149,623.5356,1174.23,342.8954
13-37-12-6703380,1127.149,623.5356,1174.23,342.8954
13-37-12-6863389,1127.149,623.5356,1174.23,342.8954
13-37-12-7033399,1127.149,623.5356,1174.23,342.8954
13-37-12-7213409,1127.149,623.5356,1174.23,342.8954
13-37-12-7363418,1127.149,623.5356,1174.23,342.8954
13-37-12-7533428,1127.149,623.5356,1174.23,342.8954
13-37-12-7703437,1127.149,623.5356,1174.23,342.8954
13-37-12-7873447,1127.149,623.5356,1174.23,342.8954
13-37-12-8063458,1127.149,623.5356,1174.23,342.8954
13-37-12-8243468,1127.149,623.5356,1174.23,342.8954
13-37-12-8423478,377.4627,778.6034,1174.23,342.8954
13-37-12-8613489,526.2863,742.092,1174.23,342.8954
13-37-12-8653492,590.492,679.0767,1174.23,342.8954
13-37-12-8783499,632.467,641.9734,1174.23,342.8954
13-37-12-8953509,771.1451,482.2448,1174.23,342.8954
13-37-12-9123518,777.1975,505.4009,1174.23,342.8954
13-37-12-9283528,772.8462,487.3466,1174.23,342.8954
13-37-12-9463538,764.4739,480.898,1174.23,342.8954
13-37-12-9623547,762.6885,478.2854,1174.23,342.8954
13-37-12-9793557,766.6804,476.3547,1174.23,342.8954
13-37-12-9963567,764.4472,475.0115,1174.23,342.8954
13-37-13-0133576,762.6022,475.7847,1174.23,342.8954
13-37-13-0293585,763.7167,475.1641,1174.23,342.8954
13-37-13-0463595,779.4198,473.3102,1174.23,342.8954
13-37-13-0623604,1058.388,441.2008,1174.23,342.8954
13-37-13-0793614,1094.889,417.7011,1174.23,342.8954
13-37-13-0963624,1110.176,410.917,1174.23,342.8954
13-37-13-1133633,1111.964,418.4418,1174.23,342.8954
13-37-13-1293643,1108.326,428.3433,1174.23,342.8954
13-37-13-1463652,1106.425,434.1948,1174.23,342.8954
13-37-13-1623661,1104.521,433.524,1174.23,342.8954
13-37-13-1783671,1104.815,430.4686,1174.23,342.8954
13-37-13-1963681,1103.443,430.3775,1174.23,342.8954
13-37-13-2123690,1104.003,429.2407,1174.23,342.8954
13-37-13-2293700,1108.868,426.085,1174.23,342.8954
13-37-13-2453709,1470.677,453.3573,1174.23,342.8954
13-37-13-2623719,1668.881,490.6643,1174.23,342.8954
13-37-13-2793728,1642.737,472.2598,1174.23,342.8954
13-37-13-2963738,1637.161,465.2855,1174.23,342.8954
13-37-13-3133748,1640.8,459.0786,1174.23,342.8954
13-37-13-3283756,1636.36,479.6804,1174.23,342.8954
13-37-13-3453766,1640.659,480.6501,1174.23,342.8954
13-37-13-3623776,1639.83,476.2275,1174.23,342.8954
13-37-13-3793786,1643.564,478.1141,1174.23,342.8954
13-37-13-3953795,1639.737,479.6949,1174.23,342.8954
13-37-13-4123804,1642.304,479.4933,1174.23,342.8954
13-37-13-4293814,1640.656,474.5385,1174.23,342.8954
13-37-13-4453823,1641.99,475.3268,1174.23,342.8954
13-37-13-4623833,1642.889,475.923,1174.23,342.8954
13-37-13-4793843,1644.717,475.342,1174.23,342.8954
13-37-13-4953852,1642.188,474.5389,1174.23,342.8954
13-37-13-5123862,1645.457,477.1041,1174.23,342.8954
13-37-13-5283871,1642.9,481.4977,1174.23,342.8954
13-37-13-5443880,1636.943,487.2028,1174.23,342.8954
13-37-13-5613890,1631.567,495.8389,1174.23,342.8954
13-37-13-5793900,1625.143,502.8419,1174.23,342.8954
13-37-13-5953909,1620.314,508.0048,1174.23,342.8954
13-37-13-6123919,1616.38,514.1385,1174.23,342.8954
13-37-13-6283928,1608.87,519.0232,1174.23,342.8954
13-37-13-6453938,1181.566,547.0972,1174.23,342.8954
13-37-13-6623947,924.5863,509.1472,1174.23,342.8954
13-37-13-6783957,921.0973,533.1868,1174.23,342.8954
13-37-13-6973967,907.1475,529.3497,1174.23,342.8954
13-37-13-7123976,909.994,529.8989,1174.23,342.8954
13-37-13-7283985,910.6443,526.2411,1174.23,342.8954
13-37-13-7453995,912.3856,529.1011,1174.23,342.8954
13-37-13-7624005,927.1754,506.9344,1174.23,342.8954
13-37-13-7794014,926.4401,511.3817,1174.23,342.8954
13-37-13-7954024,923.6917,522.7993,1174.23,342.8954
13-37-13-8114033,923.4994,519.7722,1174.23,342.8954
13-37-13-8284042,924.4524,522.6768,1174.23,342.8954
13-37-13-8444052,923.1365,517.3506,1174.23,342.8954
13-37-13-8624062,922.8507,513.8572,1174.23,342.8954
13-37-13-8784071,925.0645,515.5953,1174.23,342.8954
13-37-13-8954081,926.022,514.3469,1174.23,342.8954
13-37-13-9114090,925.7899,513.4425,1174.23,342.8954
13-37-13-9284100,924.0359,510.6552,1174.23,342.8954
13-37-13-9454109,930.5968,508.2908,1174.23,342.8954
13-37-13-9614118,1234.329,403.0713,1174.23,342.8954
13-37-13-9784128,1170.999,416.9357,1174.23,342.8954
13-37-13-9954138,1208.311,409.7195,1174.23,342.8954
13-37-14-0114147,1203.112,409.8275,1174.23,342.8954
13-37-14-0284157,1200.985,408.9203,1174.23,342.8954
13-37-14-0454167,1207.969,406.4614,1174.23,342.8954
13-37-14-0614176,1208.921,404.4387,1174.23,342.8954
13-37-14-0784185,1209.574,404.6753,1174.23,342.8954
13-37-14-0954195,1213.53,402.2217,1174.23,342.8954
13-37-14-1114204,1215.459,403.5256,1174.23,342.8954
13-37-14-1284214,1212.896,405.3868,1174.23,342.8954
13-37-14-1454224,1217.243,409.6905,1174.23,342.8954
13-37-14-1614233,1220.663,410.4152,1174.23,342.8954
13-37-14-1774242,1218.764,408.7981,1174.23,342.8954
13-37-14-1944252,1218.166,411.174,1174.23,342.8954
13-37-14-2114261,1217.461,411.8784,1174.23,342.8954
13-37-14-2284271,1218.582,412.761,1174.23,342.8954
13-37-14-2444280,1218.298,409.1595,1174.23,342.8954
13-37-14-2614290,1218.165,411.1363,1174.23,342.8954
13-37-14-2784300,1217.945,409.012,1174.23,342.8954
13-37-14-2944309,1217.139,407.829,1174.23,342.8954
13-37-14-3114319,1218.156,408.5718,1174.23,342.8954
13-37-14-3284328,1218.457,407.3209,1174.23,342.8954
13-37-14-3444338,1216.092,409.309,1174.23,342.8954
13-37-14-3614347,1213.355,409.8542,1174.23,342.8954
13-37-14-3784357,1211.371,407.7941,1174.23,342.8954
13-37-14-3944366,1212.299,406.8254,1174.23,342.8954
13-37-14-4114376,1213.227,404.723,1174.23,342.8954
13-37-14-4284386,1215.4,404.1308,1174.23,342.8954
13-37-14-4454395,1214.977,401.4404,1174.23,342.8954
13-37-14-4614404,1215.111,399.9384,1174.23,342.8954
13-37-14-4774414,1215.741,397.8204,1174.23,342.8954
13-37-14-4944423,1214.296,394.2034,1174.23,342.8954
13-37-14-5104433,1213.101,392.1968,1174.23,342.8954
13-37-14-5274442,1212.318,388.8446,1174.23,342.8954
13-37-14-5444452,1212.204,386.4756,1174.23,342.8954
13-37-14-5614462,1212.31,385.3244,1174.23,342.8954
13-37-14-5774471,1214.921,381.7283,1174.23,342.8954
13-37-14-5944481,1217.801,372.3533,1174.23,342.8954
13-37-14-6114490,1221.615,361.2382,1174.23,342.8954
