Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (684.0, 627.6)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
13-16-33-3394523,665.2024,664.3383,683.9885,627.5641
13-16-33-3564533,664.6542,663.9857,683.9885,627.5641
13-16-33-3724542,663.6086,665.0513,683.9885,627.5641
13-16-33-3894552,661.9888,664.8234,683.9885,627.5641
13-16-33-4054561,661.0355,665.5122,683.9885,627.5641
13-16-33-4224571,659.6237,666.6792,683.9885,627.5641
13-16-33-4394581,658.1259,667.8032,683.9885,627.5641
13-16-33-4554590,656.6774,668.6243,683.9885,627.5641
13-16-33-4724599,655.6353,668.1076,683.9885,627.5641
13-16-33-4914610,654.227,667.5704,683.9885,627.5641
13-16-33-5054618,652.7875,665.6219,683.9885,627.5641
13-16-33-5234629,652.679,664.2769,683.9885,627.5641
13-16-33-5394638,653.0528,663.3479,683.9885,627.5641
13-16-33-5554647,651.1644,662.3214,683.9885,627.5641
13-16-33-5724657,651.2197,660.4038,683.9885,627.5641
13-16-33-5894666,652.6896,658.0978,683.9885,627.5641
13-16-33-6054675,652.5007,656.2019,683.9885,627.5641
13-16-33-6224685,651.3309,656.1805,683.9885,627.5641
13-16-33-6394695,651.2747,653.9608,683.9885,627.5641
13-16-33-6554704,651.2854,652.0953,683.9885,627.5641
13-16-33-6724714,651.4472,650.1498,683.9885,627.5641
13-16-33-6894724,650.8474,649.8007,683.9885,627.5641
13-16-33-7054733,651.3775,648.2922,683.9885,627.5641
13-16-33-7224742,650.5918,648.7042,683.9885,627.5641
13-16-33-7394752,650.7159,649.001,683.9885,627.5641
13-16-33-7554761,652.0473,648.8123,683.9885,627.5641
13-16-33-7724771,653.0457,648.5603,683.9885,627.5641
13-16-33-7894781,652.9345,648.6201,683.9885,627.5641
13-16-33-8054790,652.3028,650.7859,683.9885,627.5641
13-16-33-8224800,652.2108,652.5544,683.9885,627.5641
13-16-33-8394809,651.6517,653.1078,683.9885,627.5641
13-16-33-8564819,650.4331,654.0706,683.9885,627.5641
13-16-33-8724828,650.1672,655.7626,683.9885,627.5641
13-16-33-8894838,651.0573,656.2288,683.9885,627.5641
13-16-33-9054847,652.1071,658.5847,683.9885,627.5641
13-16-33-9224857,652.2025,661.0858,683.9885,627.5641
13-16-33-9384866,651.2927,662.8425,683.9885,627.5641
13-16-33-9554876,651.6757,661.9985,683.9885,627.5641
13-16-33-9724885,650.7918,662.0256,683.9885,627.5641
13-16-33-9884895,651.4996,662.4919,683.9885,627.5641
13-16-34-0054904,651.4275,661.5703,683.9885,627.5641
13-16-34-0224914,652.6443,661.3945,683.9885,627.5641
13-16-34-0384923,653.1514,661.0309,683.9885,627.5641
13-16-34-0554933,653.5395,661.0151,683.9885,627.5641
13-16-34-0714942,652.2366,661.4769,683.9885,627.5641
13-16-34-0884952,650.8969,663.0117,683.9885,627.5641
13-16-34-1054961,650.8612,661.9315,683.9885,627.5641
13-16-34-1214971,651.4942,660.973,683.9885,627.5641
13-16-34-1384980,651.5838,660.7072,683.9885,627.5641
13-16-34-1544989,650.2756,660.9324,683.9885,627.5641
13-16-34-1725000,650.5197,659.5975,683.9885,627.5641
13-16-34-1895010,650.7968,659.4247,683.9885,627.5641
13-16-34-2055019,651.6882,658.0028,683.9885,627.5641
13-16-34-2215028,651.4007,658.5365,683.9885,627.5641
13-16-34-2385038,651.0249,658.5702,683.9885,627.5641
13-16-34-2545047,651.0642,658.1979,683.9885,627.5641
13-16-34-2715056,651.4735,658.49,683.9885,627.5641
13-16-34-2885066,652.5585,658.7906,683.9885,627.5641
13-16-34-3045075,654.0351,659.1653,683.9885,627.5641
13-16-34-3215085,654.322,658.1902,683.9885,627.5641
13-16-34-3385095,654.0947,659.6271,683.9885,627.5641
13-16-34-3555104,653.0029,659.4344,683.9885,627.5641
13-16-34-3715114,651.89,660.7416,683.9885,627.5641
13-16-34-3885123,650.9944,662.0955,683.9885,627.5641
13-16-34-4055133,649.0552,663.8254,683.9885,627.5641
13-16-34-4215142,650.3988,664.8928,683.9885,627.5641
13-16-34-4385152,650.2378,666.045,683.9885,627.5641
13-16-34-4555162,651.1931,666.013,683.9885,627.5641
13-16-34-4745173,652.2265,667.2192,683.9885,627.5641
13-16-34-4885181,651.9545,667.3833,683.9885,627.5641
13-16-34-5045190,651.5646,668.5587,683.9885,627.5641
13-16-34-5215199,650.4392,667.9014,683.9885,627.5641
13-16-34-5385209,649.3624,666.7272,683.9885,627.5641
13-16-34-5555219,648.3538,666.5479,683.9885,627.5641
13-16-34-5715228,648.9409,666.3959,683.9885,627.5641
13-16-34-5875237,648.2366,666.4398,683.9885,627.5641
13-16-34-6055247,647.0192,666.952,683.9885,627.5641
13-16-34-6205256,646.2356,667.4874,683.9885,627.5641
13-16-34-6385266,646.4726,667.3777,683.9885,627.5641
13-16-34-6545275,647.8254,669.6965,683.9885,627.5641
