Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (804.3, 690.4)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
13-17-52-4879794,762.4858,687.5946,804.2742,690.3833
13-17-52-5049803,765.6948,686.6351,804.2742,690.3833
13-17-52-5209813,767.8529,686.6973,804.2742,690.3833
13-17-52-5379822,770.3762,687.1985,804.2742,690.3833
13-17-52-5549832,773.3019,685.8779,804.2742,690.3833
13-17-52-5709841,774.8294,685.4046,804.2742,690.3833
13-17-52-5879851,777.4872,686.7479,804.2742,690.3833
13-17-52-6049861,778.9186,687.2928,804.2742,690.3833
13-17-52-6209870,780.2597,687.9803,804.2742,690.3833
13-17-52-6379879,782.234,688.1432,804.2742,690.3833
13-17-52-6549889,784.9893,686.8744,804.2742,690.3833
13-17-52-6719899,785.6456,686.1858,804.2742,690.3833
13-17-52-6879908,787.3898,686.8911,804.2742,690.3833
13-17-52-7049918,788.5353,687.0126,804.2742,690.3833
13-17-52-7209927,789.1733,687.7076,804.2742,690.3833
13-17-52-7379937,790.199,688.1987,804.2742,690.3833
13-17-52-7549946,785.5768,686.0906,804.2742,690.3833
13-17-52-7709956,781.7177,684.3151,804.2742,690.3833
13-17-52-7879965,776.0172,682.2722,804.2742,690.3833
13-17-52-8049975,769.8309,682.0635,804.2742,690.3833
13-17-52-8209984,764.0812,680.8522,804.2742,690.3833
13-17-52-8379994,759.2805,679.8557,804.2742,690.3833
13-17-52-8540003,753.4201,679.0778,804.2742,690.3833
13-17-52-8710013,747.0649,675.7971,804.2742,690.3833
13-17-52-8870022,741.5225,675.083,804.2742,690.3833
13-17-52-9040032,736.0574,674.2249,804.2742,690.3833
13-17-52-9210041,730.8834,671.3009,804.2742,690.3833
13-17-52-9370051,726.4022,669.3159,804.2742,690.3833
13-17-52-9540060,721.2039,668.5085,804.2742,690.3833
13-17-52-9700069,717.077,666.1838,804.2742,690.3833
13-17-52-9880080,713.0964,663.8292,804.2742,690.3833
13-17-53-0040089,708.2538,662.2052,804.2742,690.3833
13-17-53-0210099,704.8477,661.741,804.2742,690.3833
13-17-53-0380108,702.257,661.4971,804.2742,690.3833
13-17-53-0540117,699.4495,659.934,804.2742,690.3833
13-17-53-0710127,697.2778,658.7108,804.2742,690.3833
13-17-53-0880137,694.6138,657.7372,804.2742,690.3833
13-17-53-1040146,692.1882,656.702,804.2742,690.3833
13-17-53-1210156,688.9804,656.4009,804.2742,690.3833
13-17-53-1370165,687.1489,654.6405,804.2742,690.3833
13-17-53-1540175,690.1916,656.9155,804.2742,690.3833
13-17-53-1700184,694.3991,658.4142,804.2742,690.3833
13-17-53-1870194,698.3131,660.2803,804.2742,690.3833
13-17-53-2040203,702.2357,660.3993,804.2742,690.3833
13-17-53-2200212,706.9037,662.0253,804.2742,690.3833
13-17-53-2370222,711.6465,664.2467,804.2742,690.3833
13-17-53-2540232,716.2742,667.2222,804.2742,690.3833
13-17-53-2710242,720.6022,668.1226,804.2742,690.3833
13-17-53-2870251,726.4988,668.4586,804.2742,690.3833
13-17-53-3040260,731.7433,668.0255,804.2742,690.3833
13-17-53-3210270,737.0228,670.7534,804.2742,690.3833
13-17-53-3370279,740.3009,673.111,804.2742,690.3833
13-17-53-3540289,744.7144,672.8687,804.2742,690.3833
13-17-53-3710299,748.3884,674.0802,804.2742,690.3833
13-17-53-3870308,752.4634,675.9902,804.2742,690.3833
13-17-53-4040318,755.9738,677.2603,804.2742,690.3833
13-17-53-4210327,759.2899,677.6162,804.2742,690.3833
13-17-53-4370337,762.6056,679.5653,804.2742,690.3833
13-17-53-4540346,765.8467,679.17,804.2742,690.3833
13-17-53-4700355,768.295,681.3546,804.2742,690.3833
13-17-53-4870365,769.6576,684.27,804.2742,690.3833
13-17-53-5030374,771.4854,685.7959,804.2742,690.3833
13-17-53-5200384,774.4081,686.4894,804.2742,690.3833
13-17-53-5370394,776.5653,688.5623,804.2742,690.3833
13-17-53-5530403,779.6244,688.3456,804.2742,690.3833
13-17-53-5700413,781.4928,689.6642,804.2742,690.3833
13-17-53-5870422,781.5763,691.589,804.2742,690.3833
13-17-53-6030431,782.1039,694.5111,804.2742,690.3833
13-17-53-6200441,783.2288,697.0167,804.2742,690.3833
13-17-53-6370451,784.4283,699.2012,804.2742,690.3833
13-17-53-6530460,784.7733,701.746,804.2742,690.3833
13-17-53-6700470,785.2953,704.5165,804.2742,690.3833
13-17-53-6860479,786.5979,705.234,804.2742,690.3833
13-17-53-7040489,786.308,706.0923,804.2742,690.3833
13-17-53-7200498,787.0713,706.6537,804.2742,690.3833
13-17-53-7370508,787.8177,706.8484,804.2742,690.3833
13-17-53-7540518,788.3342,708.7505,804.2742,690.3833
13-17-53-7700527,787.7027,710.583,804.2742,690.3833
13-17-53-7860536,786.6188,710.985,804.2742,690.3833
13-17-53-8030546,786.2996,712.2074,804.2742,690.3833
13-17-53-8200556,786.9294,714.4846,804.2742,690.3833
13-17-53-8360565,787.7046,714.601,804.2742,690.3833
13-17-53-8530574,788.7143,716.2842,804.2742,690.3833
13-17-53-8690584,789.754,716.7567,804.2742,690.3833
13-17-53-8860593,790.5128,717.0993,804.2742,690.3833
13-17-53-9030603,792.3369,718.6796,804.2742,690.3833
13-17-53-9230615,792.1494,720.4431,804.2742,690.3833
13-17-53-9360622,791.2247,720.6077,804.2742,690.3833
13-17-53-9540632,791.7046,722.2719,804.2742,690.3833
13-17-53-9690641,790.7061,724.2545,804.2742,690.3833
13-17-53-9860651,790.0849,725.2045,804.2742,690.3833
13-17-54-0030660,789.0893,726.9939,804.2742,690.3833
13-17-54-0200670,788.9144,727.0218,804.2742,690.3833
13-17-54-0360679,789.1937,726.3688,804.2742,690.3833
13-17-54-0530689,789.7886,725.6661,804.2742,690.3833
13-17-54-0700699,790.4636,723.9495,804.2742,690.3833
13-17-54-0860708,790.5538,725.0663,804.2742,690.3833
13-17-54-1030717,791.5198,726.7393,804.2742,690.3833
13-17-54-1200727,791.9282,727.0515,804.2742,690.3833
13-17-54-1360736,791.1986,728.4962,804.2742,690.3833
13-17-54-1530746,790.5538,727.8289,804.2742,690.3833
13-17-54-1690755,790.5369,727.2057,804.2742,690.3833
13-17-54-1860765,789.9008,728.3661,804.2742,690.3833
13-17-54-2030775,789.9294,728.1403,804.2742,690.3833
13-17-54-2190784,788.0598,729.7013,804.2742,690.3833
13-17-54-2360794,787.8701,729.9981,804.2742,690.3833
13-17-54-2530803,785.6846,732.4141,804.2742,690.3833
13-17-54-2690812,786.4195,732.8566,804.2742,690.3833
13-17-54-2860822,785.2864,733.8975,804.2742,690.3833
13-17-54-3030832,783.2943,734.3786,804.2742,690.3833
13-17-54-3190841,782.6197,734.3375,804.2742,690.3833
13-17-54-3360851,782.7397,734.7473,804.2742,690.3833
13-17-54-3530860,782.202,733.9795,804.2742,690.3833
13-17-54-3690870,781.5511,735.1958,804.2742,690.3833
13-17-54-3860879,780.6984,734.3928,804.2742,690.3833
13-17-54-4020888,780.2623,733.1007,804.2742,690.3833
13-17-54-4190898,780.4779,732.299,804.2742,690.3833
13-17-54-4360908,780.5139,731.8319,804.2742,690.3833
13-17-54-4530918,779.9081,731.4279,804.2742,690.3833
13-17-54-4690927,780.3904,731.0435,804.2742,690.3833
13-17-54-4860937,781.0773,730.1882,804.2742,690.3833
13-17-54-5030946,782.3894,728.8329,804.2742,690.3833
13-17-54-5190955,782.2564,728.0458,804.2742,690.3833
13-17-54-5360965,783.3745,727.9645,804.2742,690.3833
13-17-54-5530975,783.8291,727.1237,804.2742,690.3833
13-17-54-5690984,783.4728,725.3837,804.2742,690.3833
13-17-54-5860994,783.5063,726.1561,804.2742,690.3833
13-17-54-6021003,782.5858,726.1179,804.2742,690.3833
13-17-54-6191013,783.3343,724.8839,804.2742,690.3833
13-17-54-6361022,782.6644,723.8684,804.2742,690.3833
13-17-54-6531032,782.5043,723.1317,804.2742,690.3833
13-17-54-6691041,781.7628,722.147,804.2742,690.3833
13-17-54-6851050,781.8902,722.3223,804.2742,690.3833
13-17-54-7021060,780.4518,721.8656,804.2742,690.3833
13-17-54-7191070,779.0756,722.2784,804.2742,690.3833
13-17-54-7361080,778.942,721.8129,804.2742,690.3833
13-17-54-7531089,779.5134,720.166,804.2742,690.3833
13-17-54-7691098,780.1703,718.4703,804.2742,690.3833
13-17-54-7861108,781.1272,717.9449,804.2742,690.3833
13-17-54-8021117,782.1913,718.6334,804.2742,690.3833
13-17-54-8191127,782.2001,718.821,804.2742,690.3833
13-17-54-8361137,782.7275,718.3618,804.2742,690.3833
13-17-54-8521146,781.1703,717.6121,804.2742,690.3833
13-17-54-8691156,781.0165,717.4802,804.2742,690.3833
13-17-54-8861165,780.9191,717.8734,804.2742,690.3833
13-17-54-9051176,780.4926,716.5174,804.2742,690.3833
13-17-54-9191184,781.5135,710.9131,804.2742,690.3833
13-17-54-9351193,833.0967,392.3065,804.2742,690.3833
13-17-54-9531204,843.5597,73.16638,804.2742,690.3833
13-17-54-9691213,843.5597,73.16638,804.2742,690.3833
13-17-54-9851222,843.5597,73.16638,804.2742,690.3833
13-17-55-0011231,843.5597,73.16638,804.2742,690.3833
13-17-55-0251245,843.5597,73.16638,804.2742,690.3833
13-17-55-0411254,843.5597,73.16638,804.2742,690.3833
13-17-55-0581264,843.5597,73.16638,804.2742,690.3833
13-17-55-0751273,843.5597,73.16638,804.2742,690.3833
13-17-55-0941284,843.5597,73.16638,804.2742,690.3833
13-17-55-1081292,843.5597,73.16638,804.2742,690.3833
13-17-55-1281304,843.5597,73.16638,804.2742,690.3833
13-17-55-1411311,843.5597,73.16638,804.2742,690.3833
13-17-55-1581321,843.5597,73.16638,804.2742,690.3833
13-17-55-1771332,843.5597,73.16638,804.2742,690.3833
13-17-55-1951342,843.5597,73.16638,804.2742,690.3833
13-17-55-2111351,843.5597,73.16638,804.2742,690.3833
13-17-55-2291362,843.5597,73.16638,804.2742,690.3833
13-17-55-2461371,843.5597,73.16638,804.2742,690.3833
13-17-55-2611380,843.5597,73.16638,804.2742,690.3833
13-17-55-2791390,843.5597,73.16638,804.2742,690.3833
13-17-55-2931398,843.5597,73.16638,804.2742,690.3833
13-17-55-3121409,843.5597,73.16638,804.2742,690.3833
13-17-55-3271418,843.5597,73.16638,804.2742,690.3833
13-17-55-3441427,843.5597,73.16638,804.2742,690.3833
13-17-55-3621438,843.5597,73.16638,804.2742,690.3833
13-17-55-3781447,843.5597,73.16638,804.2742,690.3833
13-17-55-3941456,843.5597,73.16638,804.2742,690.3833
13-17-55-4121466,843.5597,73.16638,804.2742,690.3833
13-17-55-4281475,843.5597,73.16638,804.2742,690.3833
13-17-55-4431484,843.5597,73.16638,804.2742,690.3833
13-17-55-4611494,843.5597,73.16638,804.2742,690.3833
13-17-55-4801505,843.5597,73.16638,804.2742,690.3833
13-17-55-4951514,843.5597,73.16638,804.2742,690.3833
13-17-55-5121523,843.5597,73.16638,804.2742,690.3833
13-17-55-5271532,843.5597,73.16638,804.2742,690.3833
13-17-55-5441542,843.5597,73.16638,804.2742,690.3833
13-17-55-5581550,843.5597,73.16638,804.2742,690.3833
13-17-55-5751559,843.5597,73.16638,804.2742,690.3833
13-17-55-5901568,843.5597,73.16638,804.2742,690.3833
13-17-55-6061577,843.5597,73.16638,804.2742,690.3833
13-17-55-6221586,843.5597,73.16638,804.2742,690.3833
13-17-55-6471601,843.5597,73.16638,804.2742,690.3833
13-17-55-6651611,843.5597,73.16638,804.2742,690.3833
13-17-55-6871624,843.5597,73.16638,804.2742,690.3833
13-17-55-6971629,843.5597,73.16638,804.2742,690.3833
13-17-55-7071635,794.421,285.3098,804.2742,690.3833
13-17-55-7221644,783.3855,377.5048,804.2742,690.3833
13-17-55-7341650,787.5032,436.4128,804.2742,690.3833
13-17-55-7511660,789.0156,472.7372,804.2742,690.3833
13-17-55-7671669,780.1515,627.8875,804.2742,690.3833
13-17-55-7841679,800.8365,619.8958,804.2742,690.3833
13-17-55-8011689,799.566,629.1734,804.2742,690.3833
13-17-55-8181698,797.2169,634.0197,804.2742,690.3833
13-17-55-8341708,791.3555,628.4858,804.2742,690.3833
13-17-55-8511717,787.6702,627.7061,804.2742,690.3833
13-17-55-8681727,787.4898,624.4852,804.2742,690.3833
13-17-59-8794021,988.0529,552.8671,1008.646,544.9498
13-17-59-8964031,988.9283,552.5011,1008.646,544.9498
13-17-59-9144041,988.2632,551.2181,1008.646,544.9498
13-17-59-9294050,987.4932,552.7628,1008.646,544.9498
13-17-59-9474060,987.4299,552.4099,1008.646,544.9498
13-17-59-9634069,987.2075,552.3804,1008.646,544.9498
13-17-59-9794079,987.8893,551.0645,1008.646,544.9498
13-17-59-9964088,988.0587,550.783,1008.646,544.9498
13-18-00-0134098,987.8619,548.7858,1008.646,544.9498
13-18-00-0304108,987.342,547.7449,1008.646,544.9498
13-18-00-0464117,986.4923,546.7555,1008.646,544.9498
13-18-00-0634127,986.8688,546.942,1008.646,544.9498
13-18-00-0804136,987.2883,547.1397,1008.646,544.9498
13-18-00-0964145,987.8179,549.4289,1008.646,544.9498
13-18-00-1134155,986.9397,551.1073,1008.646,544.9498
13-18-00-1294164,985.934,551.5461,1008.646,544.9498
13-18-00-1464174,985.3654,550.9166,1008.646,544.9498
13-18-00-1634184,986.1219,551.0456,1008.646,544.9498
13-18-00-1794193,986.2545,552.8011,1008.646,544.9498
13-18-00-1964203,985.8815,554.7941,1008.646,544.9498
13-18-00-2134212,985.5209,554.9271,1008.646,544.9498
13-18-00-2304222,986.8058,556.8861,1008.646,544.9498
13-18-00-2474232,986.7146,560.2397,1008.646,544.9498
13-18-00-2634241,986.6232,561.1346,1008.646,544.9498
13-18-00-2794250,986.9992,562.5713,1008.646,544.9498
13-18-00-2964260,986.7982,561.9845,1008.646,544.9498
13-18-00-3134270,987.5219,562.6804,1008.646,544.9498
13-18-00-3294279,988.8051,563.3344,1008.646,544.9498
13-18-00-3464288,990.3368,566.2873,1008.646,544.9498
13-18-00-3634298,992.2976,568.1244,1008.646,544.9498
13-18-00-3794307,992.807,570.6631,1008.646,544.9498
13-18-00-3964317,993.9004,571.3907,1008.646,544.9498
13-18-00-4134327,995.394,573.1802,1008.646,544.9498
13-18-00-4294336,997.6943,575.9954,1008.646,544.9498
13-18-00-4464346,998.2258,576.5396,1008.646,544.9498
