Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (990.9, 635.3)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
09-36-21-7239612,1008.572,597.4,990.9318,635.3023
09-36-21-7409622,1008.367,601.9221,990.9318,635.3023
09-36-21-7569631,1006.541,603.2391,990.9318,635.3023
09-36-21-7739641,1004.221,603.5698,990.9318,635.3023
09-36-21-7899650,1001.946,602.1784,990.9318,635.3023
09-36-21-8069660,999.0012,600.4688,990.9318,635.3023
09-36-21-8239669,997.9504,598.9036,990.9318,635.3023
09-36-21-8399678,997.0892,600.0414,990.9318,635.3023
09-36-21-8569688,994.2493,595.7632,990.9318,635.3023
09-36-21-8729697,993.3225,590.1156,990.9318,635.3023
09-36-21-8899707,994.7225,588.2841,990.9318,635.3023
09-36-21-9069717,992.0847,587.0364,990.9318,635.3023
09-36-21-9229726,992.9119,583.5411,990.9318,635.3023
09-36-21-9399736,991.5391,579.8589,990.9318,635.3023
09-36-21-9569745,988.7644,578.0403,990.9318,635.3023
09-36-21-9729755,989.781,577.0396,990.9318,635.3023
09-36-21-9899764,990.7661,574.0692,990.9318,635.3023
09-36-22-0059773,990.0613,574.3896,990.9318,635.3023
09-36-22-0239784,991.2362,571.8912,990.9318,635.3023
09-36-22-0399793,993.1585,568.1943,990.9318,635.3023
09-36-22-0569803,991.1627,563.1053,990.9318,635.3023
09-36-22-0729812,993.1016,559.832,990.9318,635.3023
09-36-22-0899821,993.678,560.5579,990.9318,635.3023
09-36-22-1059831,995.0659,559.2719,990.9318,635.3023
09-36-22-1229840,992.4012,561.0123,990.9318,635.3023
09-36-22-1399850,993.4017,558.7907,990.9318,635.3023
09-36-22-1559859,994.3787,560.4788,990.9318,635.3023
09-36-22-1729869,994.6951,561.3395,990.9318,635.3023
09-36-22-1899879,994.9469,561.6129,990.9318,635.3023
09-36-22-2069888,997.3708,562.1712,990.9318,635.3023
09-36-22-2229898,1001.174,560.8758,990.9318,635.3023
09-36-22-2399907,1003.395,559.6464,990.9318,635.3023
09-36-22-2559916,1003.833,560.3499,990.9318,635.3023
09-36-22-2729926,1005.87,565.9891,990.9318,635.3023
09-36-22-2899936,1007.584,569.3478,990.9318,635.3023
09-36-22-3059945,1009.089,572.0576,990.9318,635.3023
09-36-22-3229955,1011.603,574.3999,990.9318,635.3023
09-36-22-3389964,1014.871,581.7977,990.9318,635.3023
09-36-22-3559974,1019.371,584.3433,990.9318,635.3023
09-36-22-3729983,1020.826,584.5463,990.9318,635.3023
09-36-22-3889993,1021.729,587.0585,990.9318,635.3023
09-36-22-4060002,1019.891,589.105,990.9318,635.3023
09-36-22-4250013,1021.068,595.4635,990.9318,635.3023
09-36-22-4390021,1023.616,599.4102,990.9318,635.3023
09-36-22-4560031,1030.017,604.5792,990.9318,635.3023
09-36-22-4720040,1032.682,607.5352,990.9318,635.3023
09-36-22-4890050,1033.623,609.4604,990.9318,635.3023
09-36-22-5060059,1032.027,612.7268,990.9318,635.3023
09-36-22-5230069,1034.206,612.7458,990.9318,635.3023
09-36-22-5400079,1035.365,614.8656,990.9318,635.3023
09-36-22-5550087,1035.175,615.9991,990.9318,635.3023
09-36-22-5720097,1035.152,614.4336,990.9318,635.3023
09-36-22-5890107,1034.22,616.0751,990.9318,635.3023
